candidate_type,risk,suggested_target_id,athletes,countries,result_counts,technical_merge_possible,blocking_reasons,review_note
exact_normalized_name,high,19875,"10057: Lysandrou Kyriaki (GRE, WAG) | 19875: Lysandrou Kyriaki (CYP, WAG)","CYP, GRE",10057:15 | 19875:26,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,16838,"10249: Marshall Madeleine (GBR, WAG) | 16838: Marshall Madeleine (NZL, WAG)","GBR, NZL",10249:13 | 16838:80,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,14346,"10330: Ferguson Maria (USA, WAG) | 14346: Ferguson Maria (TTO, WAG)","TTO, USA",10330:5 | 14346:10,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,7602,"1061: Belousov Gregor (GBR, MAG) | 7602: Belousov Gregor (CZE, MAG)","CZE, GBR",1061:7 | 7602:15,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,14755,"11030: Parenti Sophie (USA, WAG) | 14755: Parenti Sophie (CAN, WAG)","CAN, USA",11030:33 | 14755:55,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,21229,"12557: Yockers Ignacio (USA, MAG) | 21229: Yockers Ignacio (ESP, MAG)","ESP, USA",12557:39 | 21229:42,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,13168,"13168: Abdullah Taimur (GER, MAG) | 15764: Abdullah Taimur (ROU, MAG)","GER, ROU",13168:14 | 15764:5,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,13730,"13730: Andreeva Ekaterina (RUS, WAG) | 19366: Andreeva Ekaterina (BLR, WAG)","BLR, RUS",13730:162 | 19366:37,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,14986,"14986: Karadzhov Alex (USA, MAG) | 20875: Karadzhov Alex (BUL, MAG)","BUL, USA",14986:38 | 20875:25,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,15018,"15018: Gannes Anthony de (CAN, MAG) | 23434: Gannes Anthony de (TTO, MAG)","CAN, TTO",15018:49 | 23434:33,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,15065,"15065: Silva Bernardo (POR, MAG) | 23492: Silva Bernardo (BRA, MAG)","BRA, POR",15065:25 | 23492:9,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,21142,"15232: Murphy Fintan (GBR, MAG) | 21142: Murphy Fintan (IRL, MAG)","GBR, IRL",15232:28 | 21142:51,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,7878,"1540: Rising Kasey (GBR, MAG) | 7878: Rising Kasey (IRL, MAG)","GBR, IRL",1540:28 | 7878:36,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,16447,"16447: Maric Franka (SLO, WAG) | 22352: Maric Franka (CRO, WAG)","CRO, SLO",16447:23 | 22352:7,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,16783,"16783: Clarke-Moss Lily (GBR, WAG) | 19964: Clarke-Moss Lily (IRL, WAG)","GBR, IRL",16783:25 | 19964:20,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,22946,"17026: Pudelko Natalia (USA, WAG) | 22946: Pudelko Natalia (POL, WAG)","POL, USA",17026:40 | 22946:43,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,1714,"1714: Piotte Lilian (FRA, MAG) | 23974: Piotte Lilian (MON, MAG)","FRA, MON",1714:68 | 23974:13,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,17219,"17219: McCoy Sienna (GBR, WAG) | 25963: McCoy Sienna (IRL, WAG)","GBR, IRL",17219:51 | 25963:19,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,26256,"17425: Kopczynski Zofia (BEL, WAG) | 26256: Kopczynski Zofia (LUX, WAG)","BEL, LUX",17425:11 | 26256:17,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,1749,"1749: Racca Loris (FRA, MAG) | 23991: Racca Loris (MON, MAG)","FRA, MON",1749:16 | 23991:7,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,23636,"17797: Ramirez Elijah (GBR, MAG) | 23636: Ramirez Elijah (TTO, MAG)","GBR, TTO",17797:28 | 23636:53,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,21958,"18965: Maksimova Aleksandra (RUS, WAG) | 21958: Maksimova Aleksandra (SYR, WAG)","RUS, SYR",18965:9 | 21958:36,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,24997,"19391: Antone Elisabeth (USA, WAG) | 24997: Antone Elisabeth (PHI, WAG)","PHI, USA",19391:20 | 24997:24,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,15536,"1951: McClymont Matthew (GBR, MAG) | 15536: McClymont Matthew (JAM, MAG)","GBR, JAM",1951:14 | 15536:44,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,19605,"19605: Chrobak Hanna (GER, WAG) | 25148: Chrobak Hanna (POL, WAG)","GER, POL",19605:25 | 25148:23,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,19684,"19684: Donnelly Izabel (GBR, WAG) | 25245: Donnelly Izabel (IRL, WAG)","GBR, IRL",19684:67 | 25245:12,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,8164,"2002: Reid Michael (USA, MAG) | 8164: Reid Michael (JAM, MAG)","JAM, USA",2002:2 | 8164:19,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,20980,"20980: Astorga Benjamin (CAN, MAG) | 23486: Astorga Benjamin (MEX, MAG)","CAN, MEX",20980:12 | 23486:5,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,8209,"2104: Zouhair Nabil (FRA, MAG) | 8209: Zouhair Nabil (MAR, MAG)","FRA, MAR",2104:17 | 8209:84,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,12933,"2141: Garfias Nicolas (CAN, MAG) | 12933: Garfias Nicolas (PER, MAG)","CAN, PER",2141:4 | 12933:39,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,8264,"2188: Bitterli Noah (ROU, MAG) | 8264: Bitterli Noah (SUI, MAG)","ROU, SUI",2188:7 | 8264:72,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,25493,"22715: Barson Lola (GBR, WAG) | 25493: Barson Lola (NZL, WAG)","GBR, NZL",22715:7 | 25493:31,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,27808,"23190: Laverty Soley (GBR, WAG) | 27808: Laverty Soley (IRL, WAG)","GBR, IRL",23190:5 | 27808:15,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,8347,"2373: Dalsgard Rani (FAR, MAG) | 8347: Dalsgard Rani (DEN, MAG)","DEN, FAR",2373:12 | 8347:47,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,27578,"25598: Hradyk Mariia (UKR, WAG) | 27578: Hradyk Mariia (GER, WAG)","GER, UKR",25598:2 | 27578:14,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,3592,"3592: Agba Annabel (GBR, WAG) | 9113: Agba Annabel (NGR, WAG)","GBR, NGR",3592:15 | 9113:15,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,3700,"3700: Ra-Akbar Azaraya (USA, WAG) | 19171: Ra-Akbar Azaraya (CAN, WAG)","CAN, USA",3700:91 | 19171:28,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,7318,"412: Davis Brodie (GBR, MAG) | 7318: Davis Brodie (IRL, MAG)","GBR, IRL",412:7 | 7318:23,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
exact_normalized_name,high,4157,"4157: Laroui Djenna (FRA, WAG) | 27212: Laroui Djenna (ALG, WAG)","ALG, FRA",4157:222 | 27212:24,yes,,Same normalized first/last/discipline. Verify country history vs true homonym before merging.
