calendar_row,calendar_event,calendar_date,start_date,end_date,choice,manual_event_id,notes,option_1,option_2,option_3
2,RD761 Junior International Cup,Jan 18-20,2019-01-18,2019-01-20,,,,1: ID 339 | RD761 International Cup | MAG | 212 result | confidence 0.981,2: ID 215 | International Junior Team Cup | MAG | 1168 result | confidence 0.752,3: ID 357 | Calgary International Cup | MAG | 80 result | confidence 0.739
16,Top 12 Semi-Finals I (MAG),Feb 16,2019-02-16,2019-02-16,,,,1: ID 383 | Top 12 Semi-Finals | WAG | 161 result | confidence 1.0,2: ID 319 | Top 12 Semi-Final I | MAG | 96 result | confidence 0.899,3: ID 320 | Top 12 Semi-Final II | MAG | 96 result | confidence 0.807
27,Top 12 Semi-Finals II (MAG),Mar 2,2019-03-02,2019-03-02,,,,1: ID 383 | Top 12 Semi-Finals | WAG | 161 result | confidence 0.997,2: ID 320 | Top 12 Semi-Final II | MAG | 96 result | confidence 0.903,3: ID 319 | Top 12 Semi-Final I | MAG | 96 result | confidence 0.807
43,U of Calgary International Cup,Mar 15-17,2019-03-15,2019-03-17,,,,1: ID 357 | Calgary International Cup | MAG | 80 result | confidence 1.0,2: ID 339 | RD761 International Cup | MAG | 212 result | confidence 0.737,3: ID 406 | GymStars International | WAG | 205 result | confidence 0.651
60,Zelena Jama Open,Apr 6,2019-04-06,2019-04-06,,,,1: ID 307 | Austrian Team Open | MAG and WAG | 245 result | confidence 0.526,2: ID 322 | Singapore Open | MAG and WAG | 514 result | confidence 0.498,3: ID 225 | Elite Canada | MAG and WAG | 819 result | confidence 0.462
75,Russian Junior Men's Championships,May 6-11,2019-05-06,2019-05-11,,,,1: ID 301 | Russian Junior Championships | MAG and WAG | 2054 result | confidence 1.0,2: ID 245 | Swedish Junior Men's Championships | MAG | 88 result | confidence 0.914,3: ID 302 | Russian Championships | MAG and WAG | 1316 result | confidence 0.845
85,Nordic Junior Men's Championships,May 18-19,2019-05-18,2019-05-19,,,,1: ID 214 | Nordic Junior Championships | MAG and WAG | 558 result | confidence 1.0,2: ID 245 | Swedish Junior Men's Championships | MAG | 88 result | confidence 0.923,3: ID 424 | Norwegian Junior Championships | WAG | 502 result | confidence 0.815
129,Sarruguemines Cup,Jun 21-22,2019-06-21,2019-06-22,,,,1: ID 429 | Sarreguemines Cup | WAG | 137 result | confidence 0.878,2: ID 303 | Russian Cup | MAG and WAG | 768 result | confidence 0.638,3: ID 397 | Swedish Cup | WAG | 154 result | confidence 0.638
152,U.S. Championships,Aug 8-11,2019-08-08,2019-08-11,,,,1: ID 257 | U.S. Championships D2 | MAG and WAG | 718 result | confidence 1.0,2: ID 258 | U.S. Championships D1 | MAG and WAG | 713 result | confidence 1.0,3: ID 274 | GK Championships | MAG and WAG | 279 result | confidence 0.83
195,Hungarian Master Championships,Oct 25-26,2019-10-25,2019-10-26,,,,1: ID 244 | Hungarian Championships | MAG and WAG | 166 result | confidence 0.955,2: ID 242 | Hungarian National League Championships | MAG and WAG | 72 result | confidence 0.799,3: ID 340 | Lithuanian Championships | MAG and WAG | 213 result | confidence 0.722
211,Brazilian Junior Championships,Nov 5-10,2019-11-05,2019-11-10,,,,1: ID 292 | Brazilian Championships | MAG and WAG | 967 result | confidence 0.955,2: ID 391 | Romanian Junior Championships | WAG | 207 result | confidence 0.898,3: ID 301 | Russian Junior Championships | MAG and WAG | 2054 result | confidence 0.885
239,Latynina Cup,Dec 1-5,2019-12-01,2019-12-05,,,,1: ID 269 | Larisa Latynina Cup | MAG and WAG | 504 result | confidence 0.974,2: ID 382 | Slovenian Cup | WAG | 103 result | confidence 0.683,3: ID 353 | Lingvallen Cup | MAG | 112 result | confidence 0.667
242,1st Spanish League (2020 season),Dec 7-8,2019-12-07,2019-12-08,,,,1: ID 372 | 1st Spanish League | WAG | 546 result | confidence 0.935,2: ID 375 | Spanish League Finals | WAG | 498 result | confidence 0.671,3: ID 374 | 2nd Spanish League | WAG | 540 result | confidence 0.669
