calendar_row,calendar_event,calendar_date,start_date,end_date,choice,manual_event_id,notes,option_1,option_2,option_3
2,RD761 Junior International Team Cup,Jan 17-18,2020-01-17,2020-01-18,,,,1: ID 472 | RD761 Junior International Cup | MAG | 273 result | confidence 1.0,2: ID 514 | Create Team Cup | WAG | 142 result | confidence 0.579,3: ID 512 | International Gymnix | WAG | 602 result | confidence 0.572
42,Stella Zakharova Cup,Sep 26-27,2020-09-26,2020-09-27,,,,1: ID 458 | Mallorca Cup | MAG and WAG | 513 result | confidence 0.562,2: ID 520 | Ljubljana Cup | WAG | 16 result | confidence 0.553,3: ID 470 | Tiger Cup | MAG and WAG | 501 result | confidence 0.551
49,Swedish Men's Championships,Oct 10-11,2020-10-10,2020-10-11,,,,1: ID 456 | Swedish Championships | MAG and WAG | 562 result | confidence 0.974,2: ID 475 | Danish Championships | MAG and WAG | 460 result | confidence 0.751,3: ID 459 | Spanish Championships | MAG and WAG | 261 result | confidence 0.74
51,Finnish Men's Euros Trials,Oct 15,2020-10-15,2020-10-15,,,,1: ID 448 | Finnish Euros Trials | MAG and WAG | 259 result | confidence 0.998,2: ID 449 | 2nd Finnish Euros Trials | MAG and WAG | 269 result | confidence 0.904,3: ID 447 | 3rd Finnish Euros Trials | MAG | 137 result | confidence 0.904
55,Chinese Junior Individual Championships,Oct 17-20,2020-10-17,2020-10-20,,,,1: ID 519 | Chinese Individual Championships | WAG | 1140 result | confidence 1.0,2: ID 490 | Chinese Championships | MAG and WAG | 1315 result | confidence 0.789,3: ID 493 | Norwegian Junior Championships | MAG and WAG | 588 result | confidence 0.723
57,Chinese Senior Individual Championships,Oct 22-25,2020-10-22,2020-10-25,,,,1: ID 519 | Chinese Individual Championships | WAG | 1140 result | confidence 1.0,2: ID 490 | Chinese Championships | MAG and WAG | 1315 result | confidence 0.789,3: ID 465 | All-Japan Senior Championships | MAG and WAG | 990 result | confidence 0.704
61,2nd Finnish Men's Euros Trials,Oct 25,2020-10-25,2020-10-25,,,,1: ID 449 | 2nd Finnish Euros Trials | MAG and WAG | 269 result | confidence 1.0,2: ID 448 | Finnish Euros Trials | MAG and WAG | 259 result | confidence 0.904,3: ID 447 | 3rd Finnish Euros Trials | MAG | 137 result | confidence 0.862
62,Russian Men's Championships,Oct 28-Nov 1,2020-10-28,2020-11-01,,,,1: ID 469 | Russian Championships | MAG and WAG | 1739 result | confidence 0.974,2: ID 476 | Austrian Championships | MAG and WAG | 547 result | confidence 0.758,3: ID 459 | Spanish Championships | MAG and WAG | 261 result | confidence 0.74
66,3rd Finnish Men's Euros Trials,Oct 31,2020-10-31,2020-10-31,,,,1: ID 447 | 3rd Finnish Euros Trials | MAG | 137 result | confidence 1.0,2: ID 448 | Finnish Euros Trials | MAG and WAG | 259 result | confidence 0.904,3: ID 449 | 2nd Finnish Euros Trials | MAG and WAG | 269 result | confidence 0.862
67,Italian Gold Junior 2-3 Championships,Nov 1,2020-11-01,2020-11-01,,,,1: ID 503 | Italian Gold Junior Championships | WAG | 583 result | confidence 1.0,2: ID 510 | Italian Gold Championships | WAG | 375 result | confidence 0.917,3: ID 484 | Italian Championships | MAG and WAG | 346 result | confidence 0.79
71,Finnish Men's Championships,Nov 6-8,2020-11-06,2020-11-08,,,,1: ID 446 | Finnish Championships | MAG and WAG | 984 result | confidence 0.974,2: ID 497 | Finnish Team Championships | WAG | 106 result | confidence 0.894,3: ID 475 | Danish Championships | MAG and WAG | 460 result | confidence 0.751
75,Polish Men's Championships,Nov 7-8,2020-11-07,2020-11-08,,,,1: ID 461 | Polish Championships | MAG and WAG | 766 result | confidence 0.971,2: ID 459 | Spanish Championships | MAG and WAG | 261 result | confidence 0.751,3: ID 475 | Danish Championships | MAG and WAG | 460 result | confidence 0.733
76,Italian Gold Junior 1 Championships,Nov 7-8,2020-11-07,2020-11-08,,,,1: ID 503 | Italian Gold Junior Championships | WAG | 583 result | confidence 1.0,2: ID 510 | Italian Gold Championships | WAG | 375 result | confidence 0.927,3: ID 484 | Italian Championships | MAG and WAG | 346 result | confidence 0.8
78,Romanian Men's Championships,Nov 13-14,2020-11-13,2020-11-14,,,,1: ID 486 | Romanian Championships | MAG and WAG | 379 result | confidence 0.977,2: ID 489 | Croatian Championships | MAG and WAG | 287 result | confidence 0.774,3: ID 487 | Ukrainian Championships | MAG and WAG | 434 result | confidence 0.763
79,Hungarian Master Championships,Nov 13-15,2020-11-13,2020-11-15,,,,1: ID 457 | Hungarian Championships | MAG and WAG | 493 result | confidence 0.955,2: ID 505 | Lithuanian Championships | WAG | 76 result | confidence 0.722,3: ID 476 | Austrian Championships | MAG and WAG | 547 result | confidence 0.715
86,European Men's Championships,Dec 9-13,2020-12-09,2020-12-13,,,,1: ID 450 | European Championships | MAG and WAG | 1358 result | confidence 0.977,2: ID 486 | Romanian Championships | MAG and WAG | 379 result | confidence 0.746,3: ID 459 | Spanish Championships | MAG and WAG | 261 result | confidence 0.729
