calendar_row,calendar_event,calendar_date,start_date,end_date,choice,manual_event_id,notes,option_1,option_2,option_3,option_4,option_5
16,Finnish Men's Euros Trials,Mar 4,2021-03-04,2021-03-04,,,,1: ID 583 | Finnish Euros Trials | MAG and WAG | 129 result | confidence 0.828,2: ID 524 | 3rd Finnish Euros Trials | MAG and WAG | 134 result | confidence 0.730,3: ID 587 | 2nd Finnish Euros Trials | MAG and WAG | 121 result | confidence 0.730,4: ID 649 | Finnish Worlds Trials | WAG | 61 result | confidence 0.610,5: ID 640 | Chinese Men's Olympic Trials | MAG | 39 result | confidence 0.550
22,March U.S. National Team Camp,Mar 13,2021-03-13,2021-03-13,,,,1: ID 675 | March National Team Camp | WAG | 104 result | confidence 0.869,2: ID 689 | French National Team Review | WAG | 210 result | confidence 0.518,3: ID 627 | Chinese National Games | MAG and WAG | 1405 result | confidence 0.432,4: ID 642 | Parkettes National Qualifier | WAG | 474 result | confidence 0.369,5: ID 702 | U.S. Junior Pan Am Games Trials | WAG | 77 result | confidence 0.360
24,1st British Olympic Trials,Mar 13-Apr 10,2021-03-13,2021-04-10,,,,1: ID 696 | 1st Dutch Olympic Trials | WAG | 118 result | confidence 0.756,2: ID 715 | 1st Chinese Olympic Trials | WAG | 44 result | confidence 0.735,3: ID 685 | British Olympic Trial 1 | WAG | 47 result | confidence 0.674,4: ID 683 | British Olympic Trial 2 | WAG | 46 result | confidence 0.674,5: ID 682 | British Olympic Trial 3 | WAG | 36 result | confidence 0.674
41,Colombian Control Meet,Mar 27-28,2021-03-27,2021-03-28,,,,1: ID 677 | Colombia Control Meet | WAG | 110 result | confidence 0.810,2: ID 703 | Belgian Test Meet | WAG | 45 result | confidence 0.437,3: ID 693 | German Junior Meet | WAG | 100 result | confidence 0.428,4: ID 673 | Norwegian FIG Meet | WAG | 341 result | confidence 0.395,5: ID 672 | 2nd Norwegian FIG Meet | WAG | 338 result | confidence 0.354
61,2nd British Olympic Trials,May 7-9,2021-05-07,2021-05-09,,,,1: ID 697 | 2nd Dutch Olympic Trials | WAG | 135 result | confidence 0.756,2: ID 716 | 2nd Chinese Olympic Trials | WAG | 42 result | confidence 0.735,3: ID 685 | British Olympic Trial 1 | WAG | 47 result | confidence 0.674,4: ID 683 | British Olympic Trial 2 | WAG | 46 result | confidence 0.674,5: ID 682 | British Olympic Trial 3 | WAG | 36 result | confidence 0.674
66,Oceania Championships,May 21,2021-05-21,2021-05-21,,,,1: ID 695 | Canadian Championships | WAG | 606 result | confidence 0.691,2: ID 613 | Romanian Championships | MAG and WAG | 390 result | confidence 0.691,3: ID 566 | Icelandic Championships | MAG and WAG | 345 result | confidence 0.678,4: ID 547 | European Championships | MAG and WAG | 1592 result | confidence 0.661,5: ID 563 | German Championships | MAG and WAG | 405 result | confidence 0.656
97,Danish Men's Championships,Jun 19-20,2021-06-19,2021-06-20,,,,1: ID 611 | Danish Championships | MAG and WAG | 271 result | confidence 0.799,2: ID 603 | Danish Team Championships | MAG and WAG | 129 result | confidence 0.736,3: ID 674 | Danish Junior Championships | WAG | 155 result | confidence 0.715,4: ID 561 | Spanish Championships | MAG and WAG | 615 result | confidence 0.613,5: ID 602 | Danish Team Championships Qualifier | MAG and WAG | 117 result | confidence 0.609
119,Finnish Men's Show Competition,Aug 27,2021-08-27,2021-08-27,,,,1: ID 586 | Finnish Show Competition | MAG | 68 result | confidence 0.840,2: ID 584 | 3rd Finnish Show Competition | MAG | 80 result | confidence 0.748,3: ID 585 | 2nd Finnish Show Competition | MAG | 76 result | confidence 0.748,4: ID 522 | Finnish Championships | MAG and WAG | 992 result | confidence 0.427,5: ID 714 | Singapore Virtual Competition | WAG | 28 result | confidence 0.389
123,2nd Finnish Men's Show Competition,Sep 3,2021-09-03,2021-09-03,,,,1: ID 585 | 2nd Finnish Show Competition | MAG | 76 result | confidence 0.867,2: ID 586 | Finnish Show Competition | MAG | 68 result | confidence 0.748,3: ID 584 | 3rd Finnish Show Competition | MAG | 80 result | confidence 0.720,4: ID 587 | 2nd Finnish Euros Trials | MAG and WAG | 121 result | confidence 0.459,5: ID 617 | 2nd Swiss Men's Olympic Trials | MAG | 63 result | confidence 0.453
126,3rd Finnish Men's Show Competition,Sep 10,2021-09-10,2021-09-10,,,,1: ID 584 | 3rd Finnish Show Competition | MAG | 80 result | confidence 0.867,2: ID 586 | Finnish Show Competition | MAG | 68 result | confidence 0.748,3: ID 585 | 2nd Finnish Show Competition | MAG | 76 result | confidence 0.720,4: ID 524 | 3rd Finnish Euros Trials | MAG and WAG | 134 result | confidence 0.459,5: ID 618 | 3rd Swiss Men's Olympic Trials | MAG | 56 result | confidence 0.453
