event_id,event_name,discipline,category,level,result_count,choice_calendar_row,notes,option_1,option_2,option_3,option_4,option_5
667,1st Swiss Worlds Trials,WAG,senior,World Championships,30,,,1: row 132 | Sep 14 | Swiss Worlds Trials | 2021-09-14 to 2021-09-14 | confidence 0.931,2: row 129 | Sep 11 | 1st Dutch Worlds Trials | 2021-09-11 to 2021-09-11 | confidence 0.719,3: row 124 | Sep 4-5 | British Worlds Trials | 2021-09-04 to 2021-09-05 | confidence 0.642,4: row 73 | May 29 | 1st Swiss Men's Olympic Trials | 2021-05-29 to 2021-05-29 | confidence 0.641,5: row 163 | Oct 8 | U.S. Worlds Trials | 2021-10-08 to 2021-10-08 | confidence 0.616
585,2nd Finnish Show Competition,MAG,senior,International Event,76,,,1: row 123 | Sep 3 | 2nd Finnish Men's Show Competition | 2021-09-03 to 2021-09-03 | confidence 0.867,2: row 119 | Aug 27 | Finnish Men's Show Competition | 2021-08-27 to 2021-08-27 | confidence 0.748,3: row 126 | Sep 10 | 3rd Finnish Men's Show Competition | 2021-09-10 to 2021-09-10 | confidence 0.720,4: row 23 | Mar 13 | 2nd Finnish Euros Trials | 2021-03-13 to 2021-03-13 | confidence 0.517,5: row 125 | Sep 5 | 2nd Finnish Worlds Trials | 2021-09-05 to 2021-09-05 | confidence 0.509
591,2nd Itailan Serie A,MAG,junior and senior,International Event,396,,,1: row 37 | Mar 27 | 2nd Italian Serie A | 2021-03-27 to 2021-03-27 | confidence 0.826,2: row 52 | Apr 10 | 3rd Italian Serie A | 2021-04-10 to 2021-04-10 | confidence 0.664,3: row 18 | Mar 6 | 1st Italian Serie A | 2021-03-06 to 2021-03-06 | confidence 0.630,4: row 64 | May 15-16 | Italian Serie A Final Six | 2021-05-15 to 2021-05-16 | confidence 0.514,5: row 61 | May 7-9 | 2nd British Olympic Trials | 2021-05-07 to 2021-05-09 | confidence 0.397
584,3rd Finnish Show Competition,MAG,senior,International Event,80,,,1: row 126 | Sep 10 | 3rd Finnish Men's Show Competition | 2021-09-10 to 2021-09-10 | confidence 0.867,2: row 119 | Aug 27 | Finnish Men's Show Competition | 2021-08-27 to 2021-08-27 | confidence 0.748,3: row 123 | Sep 3 | 2nd Finnish Men's Show Competition | 2021-09-03 to 2021-09-03 | confidence 0.720,4: row 31 | Mar 20 | 3rd Finnish Euros Trials | 2021-03-20 to 2021-03-20 | confidence 0.517,5: row 27 | Mar 19 | 3rd Finnish Euros Trials (MAG) | 2021-03-19 to 2021-03-19 | confidence 0.442
531,4th Bundesliga,MAG,senior,International Event,398,,,1: row 152 | Oct 2 | 1st Bundesliga | 2021-10-02 to 2021-10-02 | confidence 0.674,2: row 167 | Oct 16 | 4th Bundesliga League 2 (MAG) | 2021-10-16 to 2021-10-16 | confidence 0.653,3: row 173 | Oct 30 | 2nd Bundesliga | 2021-10-30 to 2021-10-30 | confidence 0.627,4: row 143 | Sep 25 | 1st Bundesliga (MAG) | 2021-09-25 to 2021-09-25 | confidence 0.560,5: row 205 | Dec 4 | Bundesliga Finals | 2021-12-04 to 2021-12-04 | confidence 0.536
533,5th Bundesliga,MAG,senior,International Event,401,,,1: row 152 | Oct 2 | 1st Bundesliga | 2021-10-02 to 2021-10-02 | confidence 0.674,2: row 169 | Oct 23 | 5th Bundesliga League 2 (MAG) | 2021-10-23 to 2021-10-23 | confidence 0.653,3: row 173 | Oct 30 | 2nd Bundesliga | 2021-10-30 to 2021-10-30 | confidence 0.627,4: row 143 | Sep 25 | 1st Bundesliga (MAG) | 2021-09-25 to 2021-09-25 | confidence 0.560,5: row 205 | Dec 4 | Bundesliga Finals | 2021-12-04 to 2021-12-04 | confidence 0.536
537,6th Bundesliga,MAG,senior,International Event,394,,,1: row 152 | Oct 2 | 1st Bundesliga | 2021-10-02 to 2021-10-02 | confidence 0.674,2: row 180 | Nov 6 | 6th Bundesliga League 2 (MAG) | 2021-11-06 to 2021-11-06 | confidence 0.653,3: row 173 | Oct 30 | 2nd Bundesliga | 2021-10-30 to 2021-10-30 | confidence 0.627,4: row 143 | Sep 25 | 1st Bundesliga (MAG) | 2021-09-25 to 2021-09-25 | confidence 0.560,5: row 205 | Dec 4 | Bundesliga Finals | 2021-12-04 to 2021-12-04 | confidence 0.536
538,7th Bundesliga,MAG,senior,International Event,394,,,1: row 152 | Oct 2 | 1st Bundesliga | 2021-10-02 to 2021-10-02 | confidence 0.674,2: row 191 | Nov 13 | 7th Bundesliga League 2 (MAG) | 2021-11-13 to 2021-11-13 | confidence 0.653,3: row 173 | Oct 30 | 2nd Bundesliga | 2021-10-30 to 2021-10-30 | confidence 0.627,4: row 143 | Sep 25 | 1st Bundesliga (MAG) | 2021-09-25 to 2021-09-25 | confidence 0.560,5: row 205 | Dec 4 | Bundesliga Finals | 2021-12-04 to 2021-12-04 | confidence 0.536
685,British Olympic Trial 1,WAG,senior,International Event,47,,,1: row 24 | Mar 13-Apr 10 | 1st British Olympic Trials | 2021-03-13 to 2021-04-10 | confidence 0.674,2: row 61 | May 7-9 | 2nd British Olympic Trials | 2021-05-07 to 2021-05-09 | confidence 0.674,3: row 124 | Sep 4-5 | British Worlds Trials | 2021-09-04 to 2021-09-05 | confidence 0.531,4: row 102 | Jun 24-27 | U.S. Olympic Trials | 2021-06-24 to 2021-06-27 | confidence 0.523,5: row 88 | Jun 12 | German Olympic Trials | 2021-06-12 to 2021-06-12 | confidence 0.502
683,British Olympic Trial 2,WAG,senior,International Event,46,,,1: row 24 | Mar 13-Apr 10 | 1st British Olympic Trials | 2021-03-13 to 2021-04-10 | confidence 0.674,2: row 61 | May 7-9 | 2nd British Olympic Trials | 2021-05-07 to 2021-05-09 | confidence 0.674,3: row 124 | Sep 4-5 | British Worlds Trials | 2021-09-04 to 2021-09-05 | confidence 0.531,4: row 102 | Jun 24-27 | U.S. Olympic Trials | 2021-06-24 to 2021-06-27 | confidence 0.523,5: row 88 | Jun 12 | German Olympic Trials | 2021-06-12 to 2021-06-12 | confidence 0.502
682,British Olympic Trial 3,WAG,senior,International Event,36,,,1: row 24 | Mar 13-Apr 10 | 1st British Olympic Trials | 2021-03-13 to 2021-04-10 | confidence 0.674,2: row 61 | May 7-9 | 2nd British Olympic Trials | 2021-05-07 to 2021-05-09 | confidence 0.674,3: row 124 | Sep 4-5 | British Worlds Trials | 2021-09-04 to 2021-09-05 | confidence 0.531,4: row 102 | Jun 24-27 | U.S. Olympic Trials | 2021-06-24 to 2021-06-27 | confidence 0.523,5: row 88 | Jun 12 | German Olympic Trials | 2021-06-12 to 2021-06-12 | confidence 0.502
684,British Olympic Trial 4,WAG,senior,International Event,20,,,1: row 24 | Mar 13-Apr 10 | 1st British Olympic Trials | 2021-03-13 to 2021-04-10 | confidence 0.674,2: row 61 | May 7-9 | 2nd British Olympic Trials | 2021-05-07 to 2021-05-09 | confidence 0.674,3: row 124 | Sep 4-5 | British Worlds Trials | 2021-09-04 to 2021-09-05 | confidence 0.531,4: row 102 | Jun 24-27 | U.S. Olympic Trials | 2021-06-24 to 2021-06-27 | confidence 0.523,5: row 88 | Jun 12 | German Olympic Trials | 2021-06-12 to 2021-06-12 | confidence 0.502
686,British Olympic Trial 5,WAG,senior,International Event,34,,,1: row 24 | Mar 13-Apr 10 | 1st British Olympic Trials | 2021-03-13 to 2021-04-10 | confidence 0.674,2: row 61 | May 7-9 | 2nd British Olympic Trials | 2021-05-07 to 2021-05-09 | confidence 0.674,3: row 124 | Sep 4-5 | British Worlds Trials | 2021-09-04 to 2021-09-05 | confidence 0.531,4: row 102 | Jun 24-27 | U.S. Olympic Trials | 2021-06-24 to 2021-06-27 | confidence 0.523,5: row 88 | Jun 12 | German Olympic Trials | 2021-06-12 to 2021-06-12 | confidence 0.502
687,British Olympic Trial 6,WAG,senior,International Event,30,,,1: row 24 | Mar 13-Apr 10 | 1st British Olympic Trials | 2021-03-13 to 2021-04-10 | confidence 0.674,2: row 61 | May 7-9 | 2nd British Olympic Trials | 2021-05-07 to 2021-05-09 | confidence 0.674,3: row 124 | Sep 4-5 | British Worlds Trials | 2021-09-04 to 2021-09-05 | confidence 0.531,4: row 102 | Jun 24-27 | U.S. Olympic Trials | 2021-06-24 to 2021-06-27 | confidence 0.523,5: row 88 | Jun 12 | German Olympic Trials | 2021-06-12 to 2021-06-12 | confidence 0.502
624,Bundesliga Final Relegation Match,MAG,senior,International Event,48,,,1: row 196 | Nov 20 | Bundesliga Semifinal and Relegation Match | 2021-11-20 to 2021-11-20 | confidence 0.755,2: row 201 | Nov 27 | Bundesliga Relegation and Promotion Match | 2021-11-27 to 2021-11-27 | confidence 0.649,3: row 205 | Dec 4 | Bundesliga Finals | 2021-12-04 to 2021-12-04 | confidence 0.486,4: row 144 | Sep 25 | 1st Bundesliga League 2 (MAG) | 2021-09-25 to 2021-09-25 | confidence 0.406,5: row 155 | Oct 2 | 2nd Bundesliga League 2 (MAG) | 2021-10-02 to 2021-10-02 | confidence 0.406
