event_id,event_name,event_year,start_date,end_date,discipline,category,level,result_count,decision,matched_calendar_row,action,notes
667,1st Swiss Worlds Trials,2021,,,WAG,senior,World Championships,30,,,,
585,2nd Finnish Show Competition,2021,,,MAG,senior,International Event,76,,,,
591,2nd Itailan Serie A,2021,,,MAG,junior and senior,International Event,396,,,,
584,3rd Finnish Show Competition,2021,,,MAG,senior,International Event,80,,,,
531,4th Bundesliga,2021,,,MAG,senior,International Event,398,,,,
533,5th Bundesliga,2021,,,MAG,senior,International Event,401,,,,
537,6th Bundesliga,2021,,,MAG,senior,International Event,394,,,,
538,7th Bundesliga,2021,,,MAG,senior,International Event,394,,,,
685,British Olympic Trial 1,2021,,,WAG,senior,International Event,47,,,,
683,British Olympic Trial 2,2021,,,WAG,senior,International Event,46,,,,
682,British Olympic Trial 3,2021,,,WAG,senior,International Event,36,,,,
684,British Olympic Trial 4,2021,,,WAG,senior,International Event,20,,,,
686,British Olympic Trial 5,2021,,,WAG,senior,International Event,34,,,,
687,British Olympic Trial 6,2021,,,WAG,senior,International Event,30,,,,
624,Bundesliga Final Relegation Match,2021,,,MAG,senior,International Event,48,,,,
532,Bundesliga Promotion Match,2021,,,MAG,senior,International Event,146,,,,
634,Bundesliga Promotion Sudden Death Match,2021,,,MAG,senior,International Event,4,,,,
606,Bundesliga Relegation Match,2021,,,MAG,senior,International Event,99,,,,
610,Bundesliga Semifinal,2021,,,MAG,senior,International Event,97,,,,
677,Colombia Control Meet,2021,,,WAG,junior and senior,International Event,110,,,,
586,Finnish Show Competition,2021,,,MAG,senior,International Event,68,,,,
605,German Worlds Trials,2021,,,MAG,senior,World Championships,74,,,,
675,March National Team Camp,2021,,,WAG,junior and senior,International Event,104,,,,
691,RomGym Trophy,2021,,,WAG,senior,International Event,16,,,,
