calendar_row,calendar_event,calendar_date,start_date,end_date,choice,manual_event_id,notes,option_1,option_2,option_3
16,Finnish Men's Euros Trials,Mar 4,2021-03-04,2021-03-04,,,,1: ID 583 | Finnish Euros Trials | MAG and WAG | 129 result | confidence 0.998,2: ID 524 | 3rd Finnish Euros Trials | MAG and WAG | 134 result | confidence 0.904,3: ID 587 | 2nd Finnish Euros Trials | MAG and WAG | 121 result | confidence 0.904
22,March U.S. National Team Camp,Mar 13,2021-03-13,2021-03-13,,,,1: ID 675 | March National Team Camp | WAG | 104 result | confidence 1.0,2: ID 689 | French National Team Review | WAG | 210 result | confidence 0.668,3: ID 627 | Chinese National Games | MAG and WAG | 1405 result | confidence 0.593
24,1st British Olympic Trials,Mar 13-Apr 10,2021-03-13,2021-04-10,,,,1: ID 696 | 1st Dutch Olympic Trials | WAG | 118 result | confidence 0.906,2: ID 715 | 1st Chinese Olympic Trials | WAG | 44 result | confidence 0.885,3: ID 685 | British Olympic Trial 1 | WAG | 47 result | confidence 0.841
41,Colombian Control Meet,Mar 27-28,2021-03-27,2021-03-28,,,,1: ID 677 | Colombia Control Meet | WAG | 110 result | confidence 0.96,2: ID 703 | Belgian Test Meet | WAG | 45 result | confidence 0.587,3: ID 693 | German Junior Meet | WAG | 100 result | confidence 0.578
61,2nd British Olympic Trials,May 7-9,2021-05-07,2021-05-09,,,,1: ID 697 | 2nd Dutch Olympic Trials | WAG | 135 result | confidence 0.906,2: ID 716 | 2nd Chinese Olympic Trials | WAG | 42 result | confidence 0.885,3: ID 685 | British Olympic Trial 1 | WAG | 47 result | confidence 0.841
66,Oceania Championships,May 21,2021-05-21,2021-05-21,,,,1: ID 695 | Canadian Championships | WAG | 606 result | confidence 0.841,2: ID 613 | Romanian Championships | MAG and WAG | 390 result | confidence 0.841,3: ID 566 | Icelandic Championships | MAG and WAG | 345 result | confidence 0.828
97,Danish Men's Championships,Jun 19-20,2021-06-19,2021-06-20,,,,1: ID 611 | Danish Championships | MAG and WAG | 271 result | confidence 0.971,2: ID 603 | Danish Team Championships | MAG and WAG | 129 result | confidence 0.89,3: ID 674 | Danish Junior Championships | WAG | 155 result | confidence 0.867
119,Finnish Men's Show Competition,Aug 27,2021-08-27,2021-08-27,,,,1: ID 586 | Finnish Show Competition | MAG | 68 result | confidence 1.0,2: ID 584 | 3rd Finnish Show Competition | MAG | 80 result | confidence 0.921,3: ID 585 | 2nd Finnish Show Competition | MAG | 76 result | confidence 0.921
123,2nd Finnish Men's Show Competition,Sep 3,2021-09-03,2021-09-03,,,,1: ID 585 | 2nd Finnish Show Competition | MAG | 76 result | confidence 1.0,2: ID 586 | Finnish Show Competition | MAG | 68 result | confidence 0.921,3: ID 584 | 3rd Finnish Show Competition | MAG | 80 result | confidence 0.879
126,3rd Finnish Men's Show Competition,Sep 10,2021-09-10,2021-09-10,,,,1: ID 584 | 3rd Finnish Show Competition | MAG | 80 result | confidence 1.0,2: ID 586 | Finnish Show Competition | MAG | 68 result | confidence 0.921,3: ID 585 | 2nd Finnish Show Competition | MAG | 76 result | confidence 0.879
130,British Men's Championships,Sep 11-12,2021-09-11,2021-09-12,,,,1: ID 551 | British Championships | MAG and WAG | 1267 result | confidence 0.974,2: ID 623 | Brazilian Championships | MAG and WAG | 519 result | confidence 0.746,3: ID 522 | Finnish Championships | MAG and WAG | 992 result | confidence 0.74
132,Swiss Worlds Trials,Sep 14,2021-09-14,2021-09-14,,,,1: ID 667 | 1st Swiss Worlds Trials | WAG | 30 result | confidence 1.0,2: ID 576 | U.S. Worlds Trials | MAG and WAG | 75 result | confidence 0.87,3: ID 649 | Finnish Worlds Trials | WAG | 61 result | confidence 0.845
133,U.S. Men's Worlds Trials,Sep 16-18,2021-09-16,2021-09-18,,,,1: ID 576 | U.S. Worlds Trials | MAG and WAG | 75 result | confidence 0.981,2: ID 605 | German Worlds Trials | MAG | 74 result | confidence 0.796,3: ID 649 | Finnish Worlds Trials | WAG | 61 result | confidence 0.747
137,Swedish Men's Championships,Sep 17-19,2021-09-17,2021-09-19,,,,1: ID 526 | Swedish Championships | MAG and WAG | 719 result | confidence 0.974,2: ID 588 | Swiss Championships | MAG and WAG | 180 result | confidence 0.795,3: ID 611 | Danish Championships | MAG and WAG | 271 result | confidence 0.751
144,1st Bundesliga League 2 (MAG),Sep 25,2021-09-25,2021-09-25,,,,1: ID 536 | 1st Bundesliga | MAG and WAG | 1245 result | confidence 0.839,2: ID 647 | 1st Spanish League | WAG | 649 result | confidence 0.634,3: ID 606 | Bundesliga Relegation Match | MAG | 99 result | confidence 0.606
155,2nd Bundesliga League 2 (MAG),Oct 2,2021-10-02,2021-10-02,,,,1: ID 535 | 2nd Bundesliga | MAG and WAG | 1243 result | confidence 0.839,2: ID 669 | 2nd Spanish League | WAG | 582 result | confidence 0.634,3: ID 606 | Bundesliga Relegation Match | MAG | 99 result | confidence 0.606
156,Danish Men's Team Championships Qualifier,Oct 2,2021-10-02,2021-10-02,,,,1: ID 602 | Danish Team Championships Qualifier | MAG and WAG | 117 result | confidence 1.0,2: ID 603 | Danish Team Championships | MAG and WAG | 129 result | confidence 0.867,3: ID 611 | Danish Championships | MAG and WAG | 271 result | confidence 0.739
161,1st Bundesliga League 3,Oct 3-10,2021-10-03,2021-10-10,,,,1: ID 536 | 1st Bundesliga | MAG and WAG | 1245 result | confidence 0.917,2: ID 647 | 1st Spanish League | WAG | 649 result | confidence 0.702,3: ID 533 | 5th Bundesliga | MAG | 401 result | confidence 0.653
162,German Men's Worlds Trials,Oct 7,2021-10-07,2021-10-07,,,,1: ID 605 | German Worlds Trials | MAG | 74 result | confidence 0.998,2: ID 710 | German Euros Trials | WAG | 26 result | confidence 0.79,3: ID 649 | Finnish Worlds Trials | WAG | 61 result | confidence 0.766
166,3rd Bundesliga League 2 (MAG),Oct 9-10,2021-10-09,2021-10-10,,,,1: ID 534 | 3rd Bundesliga | MAG and WAG | 944 result | confidence 0.839,2: ID 648 | 3rd Spanish League | WAG | 583 result | confidence 0.634,3: ID 606 | Bundesliga Relegation Match | MAG | 99 result | confidence 0.606
167,4th Bundesliga League 2 (MAG),Oct 16,2021-10-16,2021-10-16,,,,1: ID 531 | 4th Bundesliga | MAG | 398 result | confidence 0.839,2: ID 533 | 5th Bundesliga | MAG | 401 result | confidence 0.642,3: ID 537 | 6th Bundesliga | MAG | 394 result | confidence 0.642
169,5th Bundesliga League 2 (MAG),Oct 23,2021-10-23,2021-10-23,,,,1: ID 533 | 5th Bundesliga | MAG | 401 result | confidence 0.839,2: ID 531 | 4th Bundesliga | MAG | 398 result | confidence 0.642,3: ID 537 | 6th Bundesliga | MAG | 394 result | confidence 0.642
