conflict_group,event_id,event_name,event_year,event_discipline,event_category,event_result_count,calendar_sheet,calendar_row,calendar_year,calendar_date,calendar_start_date,calendar_end_date,calendar_event,decision,action,notes
1,554,Elite Canada,2021,MAG and WAG,junior and senior,850,2021,11,2021,Feb 13-14,2021-02-13,2021-02-14,Elite Canada,,,
1,554,Elite Canada,2021,MAG and WAG,junior and senior,850,2021,12,2021,Feb 19-21,2021-02-19,2021-02-21,Elite Canada (MAG),,,
2,587,2nd Finnish Euros Trials,2021,MAG and WAG,senior,121,2021,23,2021,Mar 13,2021-03-13,2021-03-13,2nd Finnish Euros Trials,,,
2,587,2nd Finnish Euros Trials,2021,MAG and WAG,senior,121,2021,25,2021,Mar 14,2021-03-14,2021-03-14,2nd Finnish Euros Trials (MAG),,,
3,524,3rd Finnish Euros Trials,2021,MAG and WAG,senior,134,2021,27,2021,Mar 19,2021-03-19,2021-03-19,3rd Finnish Euros Trials (MAG),,,
3,524,3rd Finnish Euros Trials,2021,MAG and WAG,senior,134,2021,31,2021,Mar 20,2021-03-20,2021-03-20,3rd Finnish Euros Trials,,,
4,595,Polish Junior Cup,2021,MAG and WAG,junior,177,2021,28,2021,Mar 19-21,2021-03-19,2021-03-21,Polish Junior Cup,,,
4,595,Polish Junior Cup,2021,MAG and WAG,junior,177,2021,35,2021,Mar 26-27,2021-03-26,2021-03-27,Polish Junior Cup (MAG),,,
5,628,Hungarian Super Team Championships,2021,MAG and WAG,junior and senior,301,2021,30,2021,Mar 20,2021-03-20,2021-03-20,Hungarian Super Team Championships,,,
5,628,Hungarian Super Team Championships,2021,MAG and WAG,junior and senior,301,2021,33,2021,Mar 26,2021-03-26,2021-03-26,Hungarian Super Team Championships (MAG),,,
6,527,Top 12 Championships,2021,MAG and WAG,junior and senior,520,2021,36,2021,Mar 27,2021-03-27,2021-03-27,Top 12 Championships,,,
6,527,Top 12 Championships,2021,MAG and WAG,junior and senior,520,2021,42,2021,Mar 28,2021-03-28,2021-03-28,Top 12 Championships (MAG),,,
7,630,Polish Championships,2021,MAG and WAG,junior and senior,541,2021,39,2021,Mar 27-28,2021-03-27,2021-03-28,Polish Championships (MAG),,,
7,630,Polish Championships,2021,MAG and WAG,junior and senior,541,2021,75,2021,Jun 3-5,2021-06-03,2021-06-05,Polish Championships,,,
8,536,1st Bundesliga,2021,MAG and WAG,junior and senior,1245,2021,143,2021,Sep 25,2021-09-25,2021-09-25,1st Bundesliga (MAG),,,
8,536,1st Bundesliga,2021,MAG and WAG,junior and senior,1245,2021,152,2021,Oct 2,2021-10-02,2021-10-02,1st Bundesliga,,,
9,535,2nd Bundesliga,2021,MAG and WAG,junior and senior,1243,2021,154,2021,Oct 2,2021-10-02,2021-10-02,2nd Bundesliga (MAG),,,
9,535,2nd Bundesliga,2021,MAG and WAG,junior and senior,1243,2021,173,2021,Oct 30,2021-10-30,2021-10-30,2nd Bundesliga,,,
