calendar_row,calendar_event,calendar_date,start_date,end_date,choice,manual_event_id,notes,option_1,option_2,option_3
51,Russian Men's Championships,Apr 13-17,2022-04-13,2022-04-17,,,,1: ID 818 | Russian Championships | MAG and WAG | 2657 result | confidence 0.974,2: ID 748 | Asian Championships | MAG and WAG | 654 result | confidence 0.764,3: ID 826 | Austrian Championships | MAG and WAG | 487 result | confidence 0.758
69,Mexican Men's Championships,May 16-20,2022-05-16,2022-05-20,,,,1: ID 747 | Mexican Championships | MAG and WAG | 361 result | confidence 0.974,2: ID 722 | Finnish Championships | MAG and WAG | 1066 result | confidence 0.74,3: ID 741 | African Championships | MAG and WAG | 658 result | confidence 0.74
95,U.S. Pan Ams Men's Selection Camp,Jun 4-8,2022-06-04,2022-06-08,,,,1: ID 864 | U.S. Pan Ams Selection Camp | MAG | 53 result | confidence 1.0,2: ID 894 | U.S. Pan Ams Trials | WAG | 174 result | confidence 0.65,3: ID 896 | March U.S. National Team Camp | WAG | 170 result | confidence 0.553
105,Swiss Men's Euros Trials,Jun 17,2022-06-17,2022-06-17,,,,1: ID 850 | Swiss Men's Euros Trials 2 | MAG | 43 result | confidence 1.0,2: ID 848 | Swiss Euros Trials | MAG | 73 result | confidence 0.99,3: ID 847 | Swiss Men's Worlds Trials 2 | MAG | 66 result | confidence 0.86
157,1st Bundesliga League 2 (MAG),Sep 24,2022-09-24,2022-09-24,,,,1: ID 739 | 1st Bundlesiga League 2 | MAG | 396 result | confidence 0.899,2: ID 738 | 4th Bundesliga League 2 | MAG | 401 result | confidence 0.869,3: ID 734 | 6th Bundesliga League 2 | MAG | 401 result | confidence 0.869
162,Finnish Men's Championships,Sep 30-Oct 1,2022-09-30,2022-10-01,,,,1: ID 722 | Finnish Championships | MAG and WAG | 1066 result | confidence 0.974,2: ID 891 | Finnish Team Championships | WAG | 127 result | confidence 0.894,3: ID 752 | Irish Championships | MAG and WAG | 177 result | confidence 0.764
171,2nd Bundesliga League 2 (MAG),Oct 1,2022-10-01,2022-10-01,,,,1: ID 788 | 2nd Bundlesiga League 2 | MAG | 347 result | confidence 0.899,2: ID 736 | 3rd Bundesliga League 2 | MAG | 397 result | confidence 0.869,3: ID 778 | 2nd Bundesliga | MAG and WAG | 482 result | confidence 0.839
192,Mogilev Men's Friendly,Oct 31-Nov 3,2022-10-31,2022-11-03,,,,1: ID 835 | Mogilev Friendly | MAG | 233 result | confidence 0.957,2: ID 773 | Magglingen Friendly | MAG | 135 result | confidence 0.694,3: ID 884 | Ghent Friendly | WAG | 66 result | confidence 0.684
205,1st Spanish League – 2023 season,Nov 18-20,2022-11-18,2022-11-20,,,,1: ID 888 | 1st Spanish League | WAG | 578 result | confidence 0.9,2: ID 890 | 2nd Spanish League | WAG | 589 result | confidence 0.652,3: ID 889 | 3rd Spanish League | WAG | 468 result | confidence 0.652
207,Top 12 Series 1 (MAG) – 2023 season,Nov 19,2022-11-19,2022-11-19,,,,1: ID 763 | Top 12 Series 1 | MAG and WAG | 199 result | confidence 0.827,2: ID 766 | Top 12 Series 2 | MAG and WAG | 204 result | confidence 0.688,3: ID 762 | Top 12 Series 3 | MAG and WAG | 203 result | confidence 0.688
214,Top 12 Series 2 (MAG) – 2023 season,Nov 26,2022-11-26,2022-11-26,,,,1: ID 766 | Top 12 Series 2 | MAG and WAG | 204 result | confidence 0.827,2: ID 762 | Top 12 Series 3 | MAG and WAG | 203 result | confidence 0.688,3: ID 763 | Top 12 Series 1 | MAG and WAG | 199 result | confidence 0.653
229,Top 12 Series 3 (MAG) – 2023 season,Dec 17,2022-12-17,2022-12-17,,,,1: ID 762 | Top 12 Series 3 | MAG and WAG | 203 result | confidence 0.827,2: ID 766 | Top 12 Series 2 | MAG and WAG | 204 result | confidence 0.688,3: ID 763 | Top 12 Series 1 | MAG and WAG | 199 result | confidence 0.653
