calendar_year,calendar_sheet,calendar_row,calendar_date,calendar_start_date,calendar_end_date,calendar_event,decision,selected_event_id,action,notes,suggestion_1_event_id,suggestion_1_event_name,suggestion_1_event_year,suggestion_1_start_date,suggestion_1_end_date,suggestion_1_discipline,suggestion_1_category,suggestion_1_level,suggestion_1_result_count,suggestion_1_confidence,suggestion_1_reason,suggestion_2_event_id,suggestion_2_event_name,suggestion_2_event_year,suggestion_2_start_date,suggestion_2_end_date,suggestion_2_discipline,suggestion_2_category,suggestion_2_level,suggestion_2_result_count,suggestion_2_confidence,suggestion_2_reason,suggestion_3_event_id,suggestion_3_event_name,suggestion_3_event_year,suggestion_3_start_date,suggestion_3_end_date,suggestion_3_discipline,suggestion_3_category,suggestion_3_level,suggestion_3_result_count,suggestion_3_confidence,suggestion_3_reason
2023,2023,6,Jan 27-29,2023-01-27,2023-01-29,Vegas Cup National Qualifier,,,,,1115,Las Vegas National Qualifier,2023,,,WAG,junior and senior,International Event,285,0.932,name_similarity=0.88; token_overlap=0.60; has_results=285; same_year,1126,WOGA Classic National Qualifier,2023,,,WAG,junior and senior,International Event,252,0.782,name_similarity=0.79; token_overlap=0.33; has_results=252; same_year,1121,Parkettes National Qualifier,2023,,,WAG,junior and senior,International Event,360,0.778,name_similarity=0.75; token_overlap=0.40; has_results=360; same_year
2023,2023,20,Feb 17-19,2023-02-17,2023-02-19,WOGA Classic & National Qualifier,,,,,1126,WOGA Classic National Qualifier,2023,,,WAG,junior and senior,International Event,252,1.0,name_similarity=0.95; token_overlap=0.80; has_results=252; same_year,1115,Las Vegas National Qualifier,2023,,,WAG,junior and senior,International Event,285,0.738,name_similarity=0.75; token_overlap=0.29; has_results=285; same_year,1114,Magical March National Qualifier,2023,,,WAG,junior and senior,International Event,242,0.716,name_similarity=0.72; token_overlap=0.29; has_results=242; same_year
2023,2023,24,Feb 25,2023-02-25,2023-02-25,Swiss Men's Euros Trials 1,,,,,1098,Swiss Euros Trials 1,2023,,,MAG and WAG,senior,International Event,113,1.0,name_similarity=0.89; token_overlap=0.80; has_results=113; same_year,1100,Swiss Euros Trials 2,2023,,,MAG and WAG,senior,International Event,117,0.872,name_similarity=0.84; token_overlap=0.50; has_results=117; same_year,1099,Swiss Euros Trials 3,2023,,,MAG,senior,International Event,60,0.872,name_similarity=0.84; token_overlap=0.50; has_results=60; same_year
2023,2023,30,Mar 3,2023-03-03,2023-03-03,Finnish Men's National Team Test,,,,,944,Finnish National Team Test,2023,,,MAG and WAG,junior and senior,International Event,150,1.0,name_similarity=0.92; token_overlap=0.80; has_results=150; same_year,943,Finnish Men's National Team Test 2,2023,,,MAG,junior and senior,International Event,109,1.0,name_similarity=0.98; token_overlap=0.83; name_contains_variant; has_results=109; same_year,1041,Finnish Men's National Team Test 4,2023,,,MAG,senior,International Event,72,1.0,name_similarity=0.98; token_overlap=0.83; name_contains_variant; has_results=72; same_year
2023,2023,34,Mar 4,2023-03-04,2023-03-04,Innsbruck Men's Friendly,,,,,1058,Innsbruck Friendly,2023,,,MAG,junior and senior,International Event,171,0.965,name_similarity=0.89; token_overlap=0.67; has_results=171; same_year,1052,Minsk Friendly,2023,,,MAG and WAG,junior,International Event,235,0.696,name_similarity=0.71; token_overlap=0.25; has_results=235; same_year,1156,Magglingen Friendly,2023,,,WAG,senior,International Event,61,0.638,name_similarity=0.62; token_overlap=0.25; has_results=61; same_year
2023,2023,41,Mar 9,2023-03-09,2023-03-09,Swiss Men's Euros Trials 2,,,,,1100,Swiss Euros Trials 2,2023,,,MAG and WAG,senior,International Event,117,1.0,name_similarity=0.89; token_overlap=0.80; has_results=117; same_year,1098,Swiss Euros Trials 1,2023,,,MAG and WAG,senior,International Event,113,0.872,name_similarity=0.84; token_overlap=0.50; has_results=113; same_year,1099,Swiss Euros Trials 3,2023,,,MAG,senior,International Event,60,0.872,name_similarity=0.84; token_overlap=0.50; has_results=60; same_year
2023,2023,48,Mar 11,2023-03-11,2023-03-11,Swiss Men's Euros Trials 3,,,,,1099,Swiss Euros Trials 3,2023,,,MAG,senior,International Event,60,1.0,name_similarity=0.89; token_overlap=0.80; has_results=60; same_year,1100,Swiss Euros Trials 2,2023,,,MAG and WAG,senior,International Event,117,0.872,name_similarity=0.84; token_overlap=0.50; has_results=117; same_year,1098,Swiss Euros Trials 1,2023,,,MAG and WAG,senior,International Event,113,0.872,name_similarity=0.84; token_overlap=0.50; has_results=113; same_year
2023,2023,59,Mar 24,2023-03-24,2023-03-24,Dutch Euros Trials 1,,,,,1176,Dutch Euros Trials,2023,,,WAG,senior,International Event,40,1.0,name_similarity=0.97; token_overlap=0.75; name_contains_variant; has_results=40; same_year,1177,Dutch Euros Trials 2,2023,,,WAG,senior,International Event,48,0.977,name_similarity=0.95; token_overlap=0.60; has_results=48; same_year,1006,Dutch Worlds Trials 1,2023,,,MAG,senior,World Championships,98,0.899,name_similarity=0.83; token_overlap=0.60; has_results=98; same_year
2023,2023,114,May 26-27,2023-05-26,2023-05-27,Italian Serie A Finals,,,,,971,Italian Serie A Final Six,2023,,,MAG and WAG,junior and senior,International Event,258,0.943,name_similarity=0.95; token_overlap=0.50; has_results=258; same_year,973,1st Italian Serie A,2023,,,MAG and WAG,junior and senior,International Event,943,0.843,name_similarity=0.74; token_overlap=0.60; has_results=943; same_year,974,2nd Italian Serie A,2023,,,MAG and WAG,junior and senior,International Event,932,0.843,name_similarity=0.74; token_overlap=0.60; has_results=932; same_year
2023,2023,118,May 28,2023-05-28,2023-05-28,Avignon Men's Friendly,,,,,1064,Avignon Friendly,2023,,,MAG,junior,International Event,191,0.957,name_similarity=0.88; token_overlap=0.67; has_results=191; same_year,1156,Magglingen Friendly,2023,,,WAG,senior,International Event,61,0.694,name_similarity=0.70; token_overlap=0.25; has_results=61; same_year,1052,Minsk Friendly,2023,,,MAG and WAG,junior,International Event,235,0.684,name_similarity=0.69; token_overlap=0.25; has_results=235; same_year
