calendar_row,calendar_event,calendar_date,start_date,end_date,choice,manual_event_id,notes,option_1,option_2,option_3
6,Vegas Cup National Qualifier,Jan 27-29,2023-01-27,2023-01-29,,,,1: ID 1115 | Las Vegas National Qualifier | WAG | 285 result | confidence 0.932,2: ID 1126 | WOGA Classic National Qualifier | WAG | 252 result | confidence 0.782,3: ID 1121 | Parkettes National Qualifier | WAG | 360 result | confidence 0.778
20,WOGA Classic & National Qualifier,Feb 17-19,2023-02-17,2023-02-19,,,,1: ID 1126 | WOGA Classic National Qualifier | WAG | 252 result | confidence 1.0,2: ID 1115 | Las Vegas National Qualifier | WAG | 285 result | confidence 0.738,3: ID 1114 | Magical March National Qualifier | WAG | 242 result | confidence 0.716
24,Swiss Men's Euros Trials 1,Feb 25,2023-02-25,2023-02-25,,,,1: ID 1098 | Swiss Euros Trials 1 | MAG and WAG | 113 result | confidence 1.0,2: ID 1100 | Swiss Euros Trials 2 | MAG and WAG | 117 result | confidence 0.872,3: ID 1099 | Swiss Euros Trials 3 | MAG | 60 result | confidence 0.872
30,Finnish Men's National Team Test,Mar 3,2023-03-03,2023-03-03,,,,1: ID 944 | Finnish National Team Test | MAG and WAG | 150 result | confidence 1.0,2: ID 943 | Finnish Men's National Team Test 2 | MAG | 109 result | confidence 1.0,3: ID 1041 | Finnish Men's National Team Test 4 | MAG | 72 result | confidence 1.0
34,Innsbruck Men's Friendly,Mar 4,2023-03-04,2023-03-04,,,,1: ID 1058 | Innsbruck Friendly | MAG | 171 result | confidence 0.965,2: ID 1052 | Minsk Friendly | MAG and WAG | 235 result | confidence 0.696,3: ID 1156 | Magglingen Friendly | WAG | 61 result | confidence 0.638
41,Swiss Men's Euros Trials 2,Mar 9,2023-03-09,2023-03-09,,,,1: ID 1100 | Swiss Euros Trials 2 | MAG and WAG | 117 result | confidence 1.0,2: ID 1098 | Swiss Euros Trials 1 | MAG and WAG | 113 result | confidence 0.872,3: ID 1099 | Swiss Euros Trials 3 | MAG | 60 result | confidence 0.872
48,Swiss Men's Euros Trials 3,Mar 11,2023-03-11,2023-03-11,,,,1: ID 1099 | Swiss Euros Trials 3 | MAG | 60 result | confidence 1.0,2: ID 1100 | Swiss Euros Trials 2 | MAG and WAG | 117 result | confidence 0.872,3: ID 1098 | Swiss Euros Trials 1 | MAG and WAG | 113 result | confidence 0.872
59,Dutch Euros Trials 1,Mar 24,2023-03-24,2023-03-24,,,,1: ID 1176 | Dutch Euros Trials | WAG | 40 result | confidence 1.0,2: ID 1177 | Dutch Euros Trials 2 | WAG | 48 result | confidence 0.977,3: ID 1006 | Dutch Worlds Trials 1 | MAG | 98 result | confidence 0.899
114,Italian Serie A Finals,May 26-27,2023-05-26,2023-05-27,,,,1: ID 971 | Italian Serie A Final Six | MAG and WAG | 258 result | confidence 0.943,2: ID 973 | 1st Italian Serie A | MAG and WAG | 943 result | confidence 0.843,3: ID 974 | 2nd Italian Serie A | MAG and WAG | 932 result | confidence 0.843
118,Avignon Men's Friendly,May 28,2023-05-28,2023-05-28,,,,1: ID 1064 | Avignon Friendly | MAG | 191 result | confidence 0.957,2: ID 1156 | Magglingen Friendly | WAG | 61 result | confidence 0.694,3: ID 1052 | Minsk Friendly | MAG and WAG | 235 result | confidence 0.684
125,Swiss Junior Men's Championships,Jun 3-4,2023-06-03,2023-06-04,,,,1: ID 1043 | Swiss Junior Championships | MAG and WAG | 370 result | confidence 1.0,2: ID 1097 | Swiss Championships | MAG and WAG | 251 result | confidence 0.834,3: ID 967 | Russian Junior Championships | MAG and WAG | 1971 result | confidence 0.796
139,German Junior Men's Championships,Jun 30-Jul 2,2023-06-30,2023-07-02,,,,1: ID 1061 | German Junior Championships | MAG and WAG | 1136 result | confidence 1.0,2: ID 953 | German Championships | MAG and WAG | 490 result | confidence 0.84,3: ID 1146 | Romanian Junior Championships | WAG | 221 result | confidence 0.824
148,July U.S. National Team Camp,Jul 9-12,2023-07-09,2023-07-12,,,,1: ID 1135 | July National Team Camp | WAG | 72 result | confidence 1.0,2: ID 944 | Finnish National Team Test | MAG and WAG | 150 result | confidence 0.635,3: ID 1119 | Finnish National Team Test 5 | WAG | 310 result | confidence 0.609
