calendar_year,calendar_sheet,calendar_row,calendar_date,calendar_start_date,calendar_end_date,calendar_event,decision,selected_event_id,action,notes,suggestion_1_event_id,suggestion_1_event_name,suggestion_1_event_year,suggestion_1_start_date,suggestion_1_end_date,suggestion_1_discipline,suggestion_1_category,suggestion_1_level,suggestion_1_result_count,suggestion_1_confidence,suggestion_1_reason,suggestion_2_event_id,suggestion_2_event_name,suggestion_2_event_year,suggestion_2_start_date,suggestion_2_end_date,suggestion_2_discipline,suggestion_2_category,suggestion_2_level,suggestion_2_result_count,suggestion_2_confidence,suggestion_2_reason,suggestion_3_event_id,suggestion_3_event_name,suggestion_3_event_year,suggestion_3_start_date,suggestion_3_end_date,suggestion_3_discipline,suggestion_3_category,suggestion_3_level,suggestion_3_result_count,suggestion_3_confidence,suggestion_3_reason
2024,2024,24,Mar 1,2024-03-01,2024-03-01,European Gymnastics Online Series,,,,,1309,European Online Series,2024,,,MAG,senior,International Event,87,0.932,name_similarity=0.80; token_overlap=0.75; has_results=87; same_year,1256,European Online Series 2,2024,,,MAG,senior,International Event,145,0.87,name_similarity=0.78; token_overlap=0.60; has_results=145; same_year,1255,European Online Series 3,2024,,,MAG,senior,International Event,108,0.87,name_similarity=0.78; token_overlap=0.60; has_results=108; same_year
2024,2024,28,Mar 6,2024-03-06,2024-03-06,Swiss Junior Men's Euros Trials,,,,,1331,Swiss Junior Euros Trials,2024,,,MAG and WAG,junior,International Event,110,1.0,name_similarity=0.92; token_overlap=0.80; has_results=110; same_year,1383,Swiss Junior Euros Trials 2,2024,,,WAG,junior,International Event,48,0.967,name_similarity=0.90; token_overlap=0.67; has_results=48; same_year,1314,Swiss Euros Trials,2024,,,MAG and WAG,senior,International Event,153,0.855,name_similarity=0.76; token_overlap=0.60; has_results=153; same_year
2024,2024,34,Mar 14,2024-03-14,2024-03-14,Lithuanian Men's Championships,,,,,1263,Lithuanian Championships,2024,,,MAG and WAG,junior and senior,International Event,374,0.981,name_similarity=0.92; token_overlap=0.67; has_results=374; same_year,1308,Italian Championships,2024,,,MAG and WAG,junior and senior,International Event,380,0.763,name_similarity=0.81; token_overlap=0.25; has_results=380; same_year,1178,Indian Championships,2024,,,MAG and WAG,senior,International Event,1449,0.746,name_similarity=0.78; token_overlap=0.25; has_results=1449; same_year
2024,2024,39,Mar 16-17,2024-03-16,2024-03-17,Hungarian Men's Championships,,,,,1320,Hungarian Championships,2024,,,MAG and WAG,junior and senior,International Event,297,0.979,name_similarity=0.92; token_overlap=0.67; has_results=297; same_year,1321,Hungarian Masters Championships,2024,,,MAG and WAG,junior and senior,International Event,235,0.916,name_similarity=0.91; token_overlap=0.50; has_results=235; same_year,1322,Hungarian Event Championships,2024,,,MAG and WAG,senior,International Event,82,0.914,name_similarity=0.91; token_overlap=0.50; has_results=82; same_year
2024,2024,49,Mar 22,2024-03-22,2024-03-22,European Gymnastics Online Series 2,,,,,1256,European Online Series 2,2024,,,MAG,senior,International Event,145,0.959,name_similarity=0.81; token_overlap=0.80; has_results=145; same_year,1309,European Online Series,2024,,,MAG,senior,International Event,87,0.87,name_similarity=0.78; token_overlap=0.60; has_results=87; same_year,1255,European Online Series 3,2024,,,MAG,senior,International Event,108,0.832,name_similarity=0.78; token_overlap=0.50; has_results=108; same_year
2024,2024,64,Apr 5,2024-04-05,2024-04-05,Ravenna Junior Men's Friendly,,,,,1277,Ravenna Junior Friendly,2024,,,MAG,junior,International Event,208,1.0,name_similarity=0.91; token_overlap=0.75; has_results=208; same_year,1375,Magglingen Junior Friendly,2024,,,WAG,junior,International Event,117,0.741,name_similarity=0.69; token_overlap=0.40; has_results=117; same_year,1284,Chemnitz Junior Friendly,2024,,,MAG,junior,International Event,199,0.733,name_similarity=0.68; token_overlap=0.40; has_results=199; same_year
2024,2024,78,Apr 13,2024-04-13,2024-04-13,European Gymnastics Online Series 3,,,,,1255,European Online Series 3,2024,,,MAG,senior,International Event,108,0.959,name_similarity=0.81; token_overlap=0.80; has_results=108; same_year,1309,European Online Series,2024,,,MAG,senior,International Event,87,0.87,name_similarity=0.78; token_overlap=0.60; has_results=87; same_year,1256,European Online Series 2,2024,,,MAG,senior,International Event,145,0.832,name_similarity=0.78; token_overlap=0.50; has_results=145; same_year
2024,2024,88,Apr 24-28,2024-04-24,2024-04-28,European Men's Championships,,,,,1187,European Championships,2024,,,MAG and WAG,junior and senior,Continental Championships,3399,0.977,name_similarity=0.91; token_overlap=0.67; has_results=3399; same_year,1184,Northern European Championships,2024,,,MAG and WAG,junior and senior,Continental Championships,722,0.831,name_similarity=0.78; token_overlap=0.50; has_results=722; same_year,1348,Hopes Championships,2024,,,WAG,junior and senior,International Event,168,0.751,name_similarity=0.79; token_overlap=0.25; has_results=168; same_year
2024,2024,98,May 16-19,2024-05-16,2024-05-19,Asian Men's Championships,,,,,1196,Asian Championships,2024,,,MAG and WAG,junior and senior,Continental Championships,1461,0.968,name_similarity=0.90; token_overlap=0.67; has_results=1461; same_year,1293,Austrian Championships,2024,,,MAG and WAG,junior and senior,International Event,519,0.782,name_similarity=0.84; token_overlap=0.25; has_results=519; same_year,1210,Russian Championships,2024,,,MAG and WAG,senior,International Event,1494,0.764,name_similarity=0.81; token_overlap=0.25; has_results=1494; same_year
2024,2024,122,Jun 8-9,2024-06-08,2024-06-09,British Men's Team Championships,,,,,1228,British Team Championships,2024,,,MAG and WAG,junior and senior,International Event,879,1.0,name_similarity=0.92; token_overlap=0.75; has_results=879; same_year,1186,British Championships,2024,,,MAG and WAG,junior and senior,International Event,2366,0.867,name_similarity=0.83; token_overlap=0.50; has_results=2366; same_year,1347,Turkish Team Championships,2024,,,WAG,junior and senior,International Event,177,0.815,name_similarity=0.81; token_overlap=0.40; has_results=177; same_year
2024,2024,127,Jun 21-23,2024-06-21,2024-06-23,Turkish Men's Championships,,,,,1236,Turkish Championships,2024,,,MAG and WAG,junior and senior,International Event,387,0.974,name_similarity=0.91; token_overlap=0.67; has_results=387; same_year,1347,Turkish Team Championships,2024,,,WAG,junior and senior,International Event,177,0.894,name_similarity=0.88; token_overlap=0.50; has_results=177; same_year,1201,Irish Championships,2024,,,MAG and WAG,junior and senior,International Event,258,0.764,name_similarity=0.81; token_overlap=0.25; has_results=258; same_year
