calendar_row,calendar_event,calendar_date,start_date,end_date,choice,manual_event_id,notes,option_1,option_2,option_3
24,European Gymnastics Online Series,Mar 1,2024-03-01,2024-03-01,,,,1: ID 1309 | European Online Series | MAG | 87 result | confidence 0.932,2: ID 1256 | European Online Series 2 | MAG | 145 result | confidence 0.87,3: ID 1255 | European Online Series 3 | MAG | 108 result | confidence 0.87
28,Swiss Junior Men's Euros Trials,Mar 6,2024-03-06,2024-03-06,,,,1: ID 1331 | Swiss Junior Euros Trials | MAG and WAG | 110 result | confidence 1.0,2: ID 1383 | Swiss Junior Euros Trials 2 | WAG | 48 result | confidence 0.967,3: ID 1314 | Swiss Euros Trials | MAG and WAG | 153 result | confidence 0.855
34,Lithuanian Men's Championships,Mar 14,2024-03-14,2024-03-14,,,,1: ID 1263 | Lithuanian Championships | MAG and WAG | 374 result | confidence 0.981,2: ID 1308 | Italian Championships | MAG and WAG | 380 result | confidence 0.763,3: ID 1178 | Indian Championships | MAG and WAG | 1449 result | confidence 0.746
39,Hungarian Men's Championships,Mar 16-17,2024-03-16,2024-03-17,,,,1: ID 1320 | Hungarian Championships | MAG and WAG | 297 result | confidence 0.979,2: ID 1321 | Hungarian Masters Championships | MAG and WAG | 235 result | confidence 0.916,3: ID 1322 | Hungarian Event Championships | MAG and WAG | 82 result | confidence 0.914
49,European Gymnastics Online Series 2,Mar 22,2024-03-22,2024-03-22,,,,1: ID 1256 | European Online Series 2 | MAG | 145 result | confidence 0.959,2: ID 1309 | European Online Series | MAG | 87 result | confidence 0.87,3: ID 1255 | European Online Series 3 | MAG | 108 result | confidence 0.832
64,Ravenna Junior Men's Friendly,Apr 5,2024-04-05,2024-04-05,,,,1: ID 1277 | Ravenna Junior Friendly | MAG | 208 result | confidence 1.0,2: ID 1375 | Magglingen Junior Friendly | WAG | 117 result | confidence 0.741,3: ID 1284 | Chemnitz Junior Friendly | MAG | 199 result | confidence 0.733
78,European Gymnastics Online Series 3,Apr 13,2024-04-13,2024-04-13,,,,1: ID 1255 | European Online Series 3 | MAG | 108 result | confidence 0.959,2: ID 1309 | European Online Series | MAG | 87 result | confidence 0.87,3: ID 1256 | European Online Series 2 | MAG | 145 result | confidence 0.832
88,European Men's Championships,Apr 24-28,2024-04-24,2024-04-28,,,,1: ID 1187 | European Championships | MAG and WAG | 3399 result | confidence 0.977,2: ID 1184 | Northern European Championships | MAG and WAG | 722 result | confidence 0.831,3: ID 1348 | Hopes Championships | WAG | 168 result | confidence 0.751
98,Asian Men's Championships,May 16-19,2024-05-16,2024-05-19,,,,1: ID 1196 | Asian Championships | MAG and WAG | 1461 result | confidence 0.968,2: ID 1293 | Austrian Championships | MAG and WAG | 519 result | confidence 0.782,3: ID 1210 | Russian Championships | MAG and WAG | 1494 result | confidence 0.764
122,British Men's Team Championships,Jun 8-9,2024-06-08,2024-06-09,,,,1: ID 1228 | British Team Championships | MAG and WAG | 879 result | confidence 1.0,2: ID 1186 | British Championships | MAG and WAG | 2366 result | confidence 0.867,3: ID 1347 | Turkish Team Championships | WAG | 177 result | confidence 0.815
127,Turkish Men's Championships,Jun 21-23,2024-06-21,2024-06-23,,,,1: ID 1236 | Turkish Championships | MAG and WAG | 387 result | confidence 0.974,2: ID 1347 | Turkish Team Championships | WAG | 177 result | confidence 0.894,3: ID 1201 | Irish Championships | MAG and WAG | 258 result | confidence 0.764
131,Rüsselsheim Junior Men's Friendly,Jun 22,2024-06-22,2024-06-22,,,,1: ID 1305 | Rüsselsheim Junior Friendly | MAG | 104 result | confidence 1.0,2: ID 1284 | Chemnitz Junior Friendly | MAG | 199 result | confidence 0.732,3: ID 1277 | Ravenna Junior Friendly | MAG | 208 result | confidence 0.714
136,German Junior Men's Championships,Jun 28-30,2024-06-28,2024-06-30,,,,1: ID 1298 | German Junior Championships | MAG and WAG | 1030 result | confidence 1.0,2: ID 1295 | German Championships | MAG and WAG | 446 result | confidence 0.84,3: ID 1360 | Romanian Junior Championships | WAG | 190 result | confidence 0.824
137,Israeli Championships,Jun 28-Jul 8,2024-06-28,2024-07-08,,,,1: ID 1308 | Italian Championships | MAG and WAG | 380 result | confidence 0.824,2: ID 1326 | Australian Championships | MAG and WAG | 591 result | confidence 0.816,3: ID 1317 | Brazilian Championships | MAG and WAG | 586 result | confidence 0.798
150,Japanese National Sports Festival,Sep 5-8,2024-09-05,2024-09-08,,,,1: ID 1342 | Parkettes National Qualifier | WAG | 227 result | confidence 0.549,2: ID 1286 | Houston National Invitational | MAG | 186 result | confidence 0.544,3: ID 1183 | International GymSport | MAG and WAG | 824 result | confidence 0.532
156,All-Japan Super Specialist Championships,Sep 16,2024-09-16,2024-09-16,,,,1: ID 1273 | Japan Specialist Championships | MAG | 47 result | confidence 0.859,2: ID 1268 | All-Japan Championships | MAG and WAG | 1258 result | confidence 0.804,3: ID 1266 | All-Japan Student Championships | MAG and WAG | 1171 result | confidence 0.803
204,Latvian Men's Championships,Nov 22-23,2024-11-22,2024-11-23,,,,1: ID 1248 | Latvian Championships | MAG and WAG | 300 result | confidence 0.974,2: ID 1196 | Asian Championships | MAG and WAG | 1461 result | confidence 0.764,3: ID 1293 | Austrian Championships | MAG and WAG | 519 result | confidence 0.758
210,Barborka Cup,Nov 29-Dec 1,2024-11-29,2024-12-01,,,,1: ID 1275 | Baborka Cup | MAG and WAG | 238 result | confidence 0.888,2: ID 1214 | Mälar Cup | MAG and WAG | 1381 result | confidence 0.638,3: ID 1195 | Baku World Cup | MAG and WAG | 686 result | confidence 0.638
