calendar_row,calendar_event,calendar_date,start_date,end_date,choice,manual_event_id,notes,option_1,option_2,option_3,option_4,option_5
8,Dragion Invitational National Qualifier,Feb 6-9,2025-02-06,2025-02-09,,,,1: ID 1600 | Dragon Invite National Qualifier | WAG | 140 result | confidence 0.684,2: ID 1591 | GAGE National Qualifier | WAG | 160 result | confidence 0.580,3: ID 1570 | Metroplex National Qualifier | WAG | 304 result | confidence 0.567,4: ID 1560 | KPAC National Qualifier | WAG | 278 result | confidence 0.559,5: ID 1559 | Coastal Realm National Qualifier | WAG | 170 result | confidence 0.556
12,Metroplex Challenge National Qualifier,Feb 13-16,2025-02-13,2025-02-16,,,,1: ID 1570 | Metroplex National Qualifier | WAG | 304 result | confidence 0.814,2: ID 1591 | GAGE National Qualifier | WAG | 160 result | confidence 0.609,3: ID 1560 | KPAC National Qualifier | WAG | 278 result | confidence 0.588,4: ID 1557 | Buckeye National Qualifier | WAG | 232 result | confidence 0.567,5: ID 1561 | Vegas Cup National Qualifier | WAG | 314 result | confidence 0.550
41,Russian Junior Men's Championships,Mar 22-29,2025-03-22,2025-03-29,,,,1: ID 1414 | Russian Junior Championships | MAG and WAG | 2626 result | confidence 0.850,2: ID 1495 | Russian Championships | MAG and WAG | 1067 result | confidence 0.671,3: ID 1565 | Romanian Junior Championships | WAG | 163 result | confidence 0.656,4: ID 1503 | German Junior Championships | MAG and WAG | 1189 result | confidence 0.651,5: ID 1531 | Brazilian Junior Championships | MAG and WAG | 817 result | confidence 0.648
55,Swiss Men's Euros Trials,Apr 10-12,2025-04-10,2025-04-12,,,,1: ID 1543 | Swiss Euros Trials | MAG and WAG | 233 result | confidence 0.820,2: ID 1481 | Swiss Worlds Trials | MAG | 43 result | confidence 0.593,3: ID 1519 | Dutch Euros Trials | MAG and WAG | 118 result | confidence 0.542,4: ID 1397 | Dutch Euros Trials 2 | MAG and WAG | 367 result | confidence 0.501,5: ID 1440 | British Worlds Trials | MAG and WAG | 103 result | confidence 0.405
84,Saint Étienne Friendly,May 7,2025-05-07,2025-05-07,,,,1: ID 1566 | Saint-Étienne Friendly | WAG | 29 result | confidence 0.708,2: ID 1596 | Magglingen Friendly | WAG | 47 result | confidence 0.531,3: ID 1517 | Givet Friendly | MAG | 132 result | confidence 0.485,4: ID 1589 | Sens Junior Friendly | WAG | 102 result | confidence 0.472,5: ID 1562 | Prievidza Friendly | WAG | 209 result | confidence 0.445
100,German Junior Men's Championships,May 27-29,2025-05-27,2025-05-29,,,,1: ID 1503 | German Junior Championships | MAG and WAG | 1189 result | confidence 0.848,2: ID 1509 | German Championships | MAG and WAG | 360 result | confidence 0.666,3: ID 1565 | Romanian Junior Championships | WAG | 163 result | confidence 0.664,4: ID 1602 | Hungarian Junior Championships | WAG | 112 result | confidence 0.656,5: ID 1414 | Russian Junior Championships | MAG and WAG | 2626 result | confidence 0.651
102,Swiss Junior Men's Championships,May 27-31,2025-05-27,2025-05-31,,,,1: ID 1423 | Swiss Junior Championships | MAG and WAG | 207 result | confidence 0.845,2: ID 1422 | Swiss Championships | MAG and WAG | 383 result | confidence 0.659,3: ID 1414 | Russian Junior Championships | MAG and WAG | 2626 result | confidence 0.638,4: ID 1453 | Swiss Team Championships | MAG and WAG | 402 result | confidence 0.628,5: ID 1386 | Nordic Junior Championships | MAG and WAG | 666 result | confidence 0.625
109,Asian Men's Championships,Jun 5-8,2025-06-05,2025-06-08,,,,1: ID 1406 | Asian Championships | MAG and WAG | 1401 result | confidence 0.795,2: ID 1505 | Austrian Championships | MAG and WAG | 441 result | confidence 0.613,3: ID 1495 | Russian Championships | MAG and WAG | 1067 result | confidence 0.596,4: ID 1451 | Spanish Championships | MAG and WAG | 702 result | confidence 0.596,5: ID 1522 | Italian Championships | MAG and WAG | 440 result | confidence 0.596
115,British Men's Team Championships,Jun 7-8,2025-06-07,2025-06-08,,,,1: ID 1438 | British Team Championships | MAG and WAG | 974 result | confidence 0.845,2: ID 1395 | British Championships | MAG and WAG | 2427 result | confidence 0.690,3: ID 1446 | Turkish Team Championships | MAG and WAG | 1108 result | confidence 0.656,4: ID 1453 | Swiss Team Championships | MAG and WAG | 402 result | confidence 0.651,5: ID 1502 | Danish Team Championships | MAG and WAG | 206 result | confidence 0.642
136,Biel Junior Men's Friendly,Jul 5,2025-07-05,2025-07-05,,,,1: ID 1497 | Biel Junior Friendly | MAG | 186 result | confidence 0.828,2: ID 1589 | Sens Junior Friendly | WAG | 102 result | confidence 0.620,3: ID 1596 | Magglingen Friendly | WAG | 47 result | confidence 0.446,4: ID 1517 | Givet Friendly | MAG | 132 result | confidence 0.428,5: ID 1562 | Prievidza Friendly | WAG | 209 result | confidence 0.425
152,Swiss Men's Worlds Trials,Aug 23-Sep 5,2025-08-23,2025-09-05,,,,1: ID 1481 | Swiss Worlds Trials | MAG | 43 result | confidence 0.824,2: ID 1543 | Swiss Euros Trials | MAG and WAG | 233 result | confidence 0.624,3: ID 1534 | German Worlds Trials | MAG and WAG | 71 result | confidence 0.602,4: ID 1601 | U.S. Worlds Trials | WAG | 63 result | confidence 0.593,5: ID 1440 | British Worlds Trials | MAG and WAG | 103 result | confidence 0.592
