calendar_year,calendar_sheet,calendar_row,calendar_date,calendar_start_date,calendar_end_date,calendar_event,decision,selected_event_id,action,notes,suggestion_1_event_id,suggestion_1_event_name,suggestion_1_event_year,suggestion_1_start_date,suggestion_1_end_date,suggestion_1_discipline,suggestion_1_category,suggestion_1_level,suggestion_1_result_count,suggestion_1_confidence,suggestion_1_reason,suggestion_2_event_id,suggestion_2_event_name,suggestion_2_event_year,suggestion_2_start_date,suggestion_2_end_date,suggestion_2_discipline,suggestion_2_category,suggestion_2_level,suggestion_2_result_count,suggestion_2_confidence,suggestion_2_reason,suggestion_3_event_id,suggestion_3_event_name,suggestion_3_event_year,suggestion_3_start_date,suggestion_3_end_date,suggestion_3_discipline,suggestion_3_category,suggestion_3_level,suggestion_3_result_count,suggestion_3_confidence,suggestion_3_reason
2025,2025,8,Feb 6-9,2025-02-06,2025-02-09,Dragion Invitational National Qualifier,,,,,1600,Dragon Invite National Qualifier,2025,,,WAG,junior and senior,International Event,140,0.834,name_similarity=0.87; token_overlap=0.33; has_results=140; same_year,1591,GAGE National Qualifier,2025,,,WAG,junior and senior,International Event,160,0.73,name_similarity=0.68; token_overlap=0.40; has_results=160; same_year,1570,Metroplex National Qualifier,2025,,,WAG,junior and senior,International Event,304,0.717,name_similarity=0.66; token_overlap=0.40; has_results=304; same_year
2025,2025,12,Feb 13-16,2025-02-13,2025-02-16,Metroplex Challenge National Qualifier,,,,,1570,Metroplex National Qualifier,2025,,,WAG,junior and senior,International Event,304,0.967,name_similarity=0.85; token_overlap=0.75; has_results=304; same_year,1591,GAGE National Qualifier,2025,,,WAG,junior and senior,International Event,160,0.759,name_similarity=0.72; token_overlap=0.40; has_results=160; same_year,1560,KPAC National Qualifier,2025,,,WAG,junior and senior,International Event,278,0.738,name_similarity=0.69; token_overlap=0.40; has_results=278; same_year
2025,2025,41,Mar 22-29,2025-03-22,2025-03-29,Russian Junior Men's Championships,,,,,1414,Russian Junior Championships,2025,,,MAG and WAG,junior,International Event,2626,1.0,name_similarity=0.93; token_overlap=0.75; has_results=2626; same_year,1495,Russian Championships,2025,,,MAG and WAG,junior and senior,International Event,1067,0.845,name_similarity=0.80; token_overlap=0.50; has_results=1067; same_year,1565,Romanian Junior Championships,2025,,,WAG,junior,International Event,163,0.815,name_similarity=0.81; token_overlap=0.40; has_results=163; same_year
2025,2025,55,Apr 10-12,2025-04-10,2025-04-12,Swiss Men's Euros Trials,,,,,1543,Swiss Euros Trials,2025,,,MAG and WAG,junior and senior,International Event,233,0.99,name_similarity=0.89; token_overlap=0.75; has_results=233; same_year,1481,Swiss Worlds Trials,2025,,,MAG,senior,World Championships,43,0.747,name_similarity=0.70; token_overlap=0.40; has_results=43; same_year,1519,Dutch Euros Trials,2025,,,MAG and WAG,senior,International Event,118,0.692,name_similarity=0.62; token_overlap=0.40; has_results=118; same_year
2025,2025,84,May 7,2025-05-07,2025-05-07,Saint Étienne Friendly,,,,,1566,Saint-Étienne Friendly,2025,,,WAG,senior,International Event,29,0.888,name_similarity=1.00; token_overlap=0.25; has_results=29; same_year,1596,Magglingen Friendly,2025,,,WAG,senior,International Event,47,0.694,name_similarity=0.70; token_overlap=0.25; has_results=47; same_year,1517,Givet Friendly,2025,,,MAG,senior,International Event,132,0.644,name_similarity=0.62; token_overlap=0.25; has_results=132; same_year
2025,2025,100,May 27-29,2025-05-27,2025-05-29,German Junior Men's Championships,,,,,1503,German Junior Championships,2025,,,MAG and WAG,junior,International Event,1189,1.0,name_similarity=0.93; token_overlap=0.75; has_results=1189; same_year,1509,German Championships,2025,,,MAG and WAG,senior,International Event,360,0.84,name_similarity=0.79; token_overlap=0.50; has_results=360; same_year,1565,Romanian Junior Championships,2025,,,WAG,junior,International Event,163,0.824,name_similarity=0.82; token_overlap=0.40; has_results=163; same_year
2025,2025,102,May 27-31,2025-05-27,2025-05-31,Swiss Junior Men's Championships,,,,,1423,Swiss Junior Championships,2025,,,MAG and WAG,junior,International Event,207,1.0,name_similarity=0.92; token_overlap=0.75; has_results=207; same_year,1422,Swiss Championships,2025,,,MAG and WAG,junior and senior,International Event,383,0.834,name_similarity=0.78; token_overlap=0.50; has_results=383; same_year,1414,Russian Junior Championships,2025,,,MAG and WAG,junior,International Event,2626,0.796,name_similarity=0.78; token_overlap=0.40; has_results=2626; same_year
2025,2025,109,Jun 5-8,2025-06-05,2025-06-08,Asian Men's Championships,,,,,1406,Asian Championships,2025,,,MAG and WAG,junior and senior,Continental Championships,1401,0.968,name_similarity=0.90; token_overlap=0.67; has_results=1401; same_year,1505,Austrian Championships,2025,,,MAG and WAG,junior and senior,International Event,441,0.782,name_similarity=0.84; token_overlap=0.25; has_results=441; same_year,1495,Russian Championships,2025,,,MAG and WAG,junior and senior,International Event,1067,0.764,name_similarity=0.81; token_overlap=0.25; has_results=1067; same_year
2025,2025,115,Jun 7-8,2025-06-07,2025-06-08,British Men's Team Championships,,,,,1438,British Team Championships,2025,,,MAG and WAG,junior and senior,International Event,974,1.0,name_similarity=0.92; token_overlap=0.75; has_results=974; same_year,1395,British Championships,2025,,,MAG and WAG,junior and senior,International Event,2427,0.867,name_similarity=0.83; token_overlap=0.50; has_results=2427; same_year,1446,Turkish Team Championships,2025,,,MAG and WAG,junior and senior,International Event,1108,0.815,name_similarity=0.81; token_overlap=0.40; has_results=1108; same_year
2025,2025,136,Jul 5,2025-07-05,2025-07-05,Biel Junior Men's Friendly,,,,,1497,Biel Junior Friendly,2025,,,MAG,junior,International Event,186,0.998,name_similarity=0.90; token_overlap=0.75; has_results=186; same_year,1589,Sens Junior Friendly,2025,,,WAG,junior,International Event,102,0.778,name_similarity=0.75; token_overlap=0.40; has_results=102; same_year,1596,Magglingen Friendly,2025,,,WAG,senior,International Event,47,0.61,name_similarity=0.60; token_overlap=0.20; has_results=47; same_year
2025,2025,152,Aug 23-Sep 5,2025-08-23,2025-09-05,Swiss Men's Worlds Trials,,,,,1481,Swiss Worlds Trials,2025,,,MAG,senior,World Championships,43,0.994,name_similarity=0.89; token_overlap=0.75; has_results=43; same_year,1543,Swiss Euros Trials,2025,,,MAG and WAG,junior and senior,International Event,233,0.782,name_similarity=0.76; token_overlap=0.40; has_results=233; same_year,1601,U.S. Worlds Trials,2025,,,WAG,senior,World Championships,63,0.773,name_similarity=0.74; token_overlap=0.40; has_results=63; same_year
2025,2025,197,Nov 1-2,2025-11-01,2025-11-02,German Men's Cup,,,,,1504,German Cup,2025,,,MAG and WAG,junior,International Event,575,0.915,name_similarity=0.82; token_overlap=0.67; has_results=575; same_year,1509,German Championships,2025,,,MAG and WAG,senior,International Event,360,0.644,name_similarity=0.62; token_overlap=0.25; has_results=360; same_year,1460,Tiger Cup,2025,,,MAG and WAG,junior and senior,International Event,655,0.609,name_similarity=0.57; token_overlap=0.25; has_results=655; same_year
2025,2025,212,Nov 21-22,2025-11-21,2025-11-22,Latvian Men's Championships,,,,,1458,Latvian Championships,2025,,,MAG and WAG,junior and senior,International Event,437,0.974,name_similarity=0.91; token_overlap=0.67; has_results=437; same_year,1406,Asian Championships,2025,,,MAG and WAG,junior and senior,Continental Championships,1401,0.764,name_similarity=0.81; token_overlap=0.25; has_results=1401; same_year,1505,Austrian Championships,2025,,,MAG and WAG,junior and senior,International Event,441,0.758,name_similarity=0.80; token_overlap=0.25; has_results=441; same_year
