calendar_row,calendar_event,calendar_date,start_date,end_date,choice,manual_event_id,notes,option_1,option_2,option_3
8,Dragion Invitational National Qualifier,Feb 6-9,2025-02-06,2025-02-09,,,,1: ID 1600 | Dragon Invite National Qualifier | WAG | 140 result | confidence 0.834,2: ID 1591 | GAGE National Qualifier | WAG | 160 result | confidence 0.73,3: ID 1570 | Metroplex National Qualifier | WAG | 304 result | confidence 0.717
12,Metroplex Challenge National Qualifier,Feb 13-16,2025-02-13,2025-02-16,,,,1: ID 1570 | Metroplex National Qualifier | WAG | 304 result | confidence 0.967,2: ID 1591 | GAGE National Qualifier | WAG | 160 result | confidence 0.759,3: ID 1560 | KPAC National Qualifier | WAG | 278 result | confidence 0.738
41,Russian Junior Men's Championships,Mar 22-29,2025-03-22,2025-03-29,,,,1: ID 1414 | Russian Junior Championships | MAG and WAG | 2626 result | confidence 1.0,2: ID 1495 | Russian Championships | MAG and WAG | 1067 result | confidence 0.845,3: ID 1565 | Romanian Junior Championships | WAG | 163 result | confidence 0.815
55,Swiss Men's Euros Trials,Apr 10-12,2025-04-10,2025-04-12,,,,1: ID 1543 | Swiss Euros Trials | MAG and WAG | 233 result | confidence 0.99,2: ID 1481 | Swiss Worlds Trials | MAG | 43 result | confidence 0.747,3: ID 1519 | Dutch Euros Trials | MAG and WAG | 118 result | confidence 0.692
84,Saint Étienne Friendly,May 7,2025-05-07,2025-05-07,,,,1: ID 1566 | Saint-Étienne Friendly | WAG | 29 result | confidence 0.888,2: ID 1596 | Magglingen Friendly | WAG | 47 result | confidence 0.694,3: ID 1517 | Givet Friendly | MAG | 132 result | confidence 0.644
100,German Junior Men's Championships,May 27-29,2025-05-27,2025-05-29,,,,1: ID 1503 | German Junior Championships | MAG and WAG | 1189 result | confidence 1.0,2: ID 1509 | German Championships | MAG and WAG | 360 result | confidence 0.84,3: ID 1565 | Romanian Junior Championships | WAG | 163 result | confidence 0.824
102,Swiss Junior Men's Championships,May 27-31,2025-05-27,2025-05-31,,,,1: ID 1423 | Swiss Junior Championships | MAG and WAG | 207 result | confidence 1.0,2: ID 1422 | Swiss Championships | MAG and WAG | 383 result | confidence 0.834,3: ID 1414 | Russian Junior Championships | MAG and WAG | 2626 result | confidence 0.796
109,Asian Men's Championships,Jun 5-8,2025-06-05,2025-06-08,,,,1: ID 1406 | Asian Championships | MAG and WAG | 1401 result | confidence 0.968,2: ID 1505 | Austrian Championships | MAG and WAG | 441 result | confidence 0.782,3: ID 1495 | Russian Championships | MAG and WAG | 1067 result | confidence 0.764
115,British Men's Team Championships,Jun 7-8,2025-06-07,2025-06-08,,,,1: ID 1438 | British Team Championships | MAG and WAG | 974 result | confidence 1.0,2: ID 1395 | British Championships | MAG and WAG | 2427 result | confidence 0.867,3: ID 1446 | Turkish Team Championships | MAG and WAG | 1108 result | confidence 0.815
136,Biel Junior Men's Friendly,Jul 5,2025-07-05,2025-07-05,,,,1: ID 1497 | Biel Junior Friendly | MAG | 186 result | confidence 0.998,2: ID 1589 | Sens Junior Friendly | WAG | 102 result | confidence 0.778,3: ID 1596 | Magglingen Friendly | WAG | 47 result | confidence 0.61
152,Swiss Men's Worlds Trials,Aug 23-Sep 5,2025-08-23,2025-09-05,,,,1: ID 1481 | Swiss Worlds Trials | MAG | 43 result | confidence 0.994,2: ID 1543 | Swiss Euros Trials | MAG and WAG | 233 result | confidence 0.782,3: ID 1601 | U.S. Worlds Trials | WAG | 63 result | confidence 0.773
197,German Men's Cup,Nov 1-2,2025-11-01,2025-11-02,,,,1: ID 1504 | German Cup | MAG and WAG | 575 result | confidence 0.915,2: ID 1509 | German Championships | MAG and WAG | 360 result | confidence 0.644,3: ID 1460 | Tiger Cup | MAG and WAG | 655 result | confidence 0.609
212,Latvian Men's Championships,Nov 21-22,2025-11-21,2025-11-22,,,,1: ID 1458 | Latvian Championships | MAG and WAG | 437 result | confidence 0.974,2: ID 1406 | Asian Championships | MAG and WAG | 1401 result | confidence 0.764,3: ID 1505 | Austrian Championships | MAG and WAG | 441 result | confidence 0.758
