event_id,event_name,event_year,event_level,start_date,end_date,result_id,athlete_id,athlete_name,country,represented_country,discipline,category,apparatus,format,round,rank,score,D_score,E_score,Penalty,Bonus
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,788913,3040,Yang Haonan,CHN,CHN,MAG,senior,FX,mixed team,final,,13.8,5.2,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,788778,13268,Xie Chenyi,CHN,CHN,MAG,senior,FX,mixed team,final,,13.333,5.0,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,781281,26818,Qiang Junjie,CHN,CHN,MAG,senior,FX,mixed team,final,,13.133,5.3,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,773722,15468,Long Houcheng,CHN,CHN,MAG,senior,FX,mixed team,final,,13.033,4.8,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,782843,15695,Rong Zihao,CHN,CHN,MAG,senior,FX,mixed team,final,,13.0,4.8,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,765557,7580,Gao Yujie,CHN,CHN,MAG,senior,FX,mixed team,final,,12.766,4.4,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,761969,723,Ding Zerun,CHN,CHN,MAG,senior,FX,mixed team,final,,12.733,4.9,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,760154,7385,Dai Zhixiong,CHN,CHN,MAG,senior,FX,mixed team,final,,12.4,4.6,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,789279,15870,Yuan Junlin,CHN,CHN,MAG,senior,FX,mixed team,final,,12.0,4.2,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,766827,26526,Huai Tianming,CHN,CHN,MAG,senior,FX,mixed team,final,,11.566,4.9,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,788928,26970,Yang Tingzu,CHN,CHN,MAG,senior,FX,mixed team,final,,11.066,4.4,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,781283,18517,Qin Cengziquan,CHN,CHN,MAG,senior,FX,mixed team,final,,11.0,4.1,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,788779,13268,Xie Chenyi,CHN,CHN,MAG,senior,HB,mixed team,final,,14.066,5.7,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,761970,723,Ding Zerun,CHN,CHN,MAG,senior,HB,mixed team,final,,13.433,4.8,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,781284,18517,Qin Cengziquan,CHN,CHN,MAG,senior,HB,mixed team,final,,13.266,4.6,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,769661,26588,Ji Xingfei,CHN,CHN,MAG,senior,HB,mixed team,final,,13.266,4.6,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,786143,2806,Tian Hao,CHN,CHN,MAG,senior,HB,mixed team,final,,13.133,5.6,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,788218,2970,Wang Haoran,CHN,CHN,MAG,senior,HB,mixed team,final,,12.9,4.0,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,773509,8012,Liao Luokai,CHN,CHN,MAG,senior,HB,mixed team,final,,12.9,4.3,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,789917,3137,Zhang Songhonghao,CHN,CHN,MAG,senior,HB,mixed team,final,,12.766,4.5,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,755626,17525,An Zheng,CHN,CHN,MAG,senior,HB,mixed team,final,,12.5,4.3,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,760155,7385,Dai Zhixiong,CHN,CHN,MAG,senior,HB,mixed team,final,,12.3,5.0,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,782844,15695,Rong Zihao,CHN,CHN,MAG,senior,HB,mixed team,final,,12.2,4.3,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,785157,15759,Sun Qi,CHN,CHN,MAG,senior,HB,mixed team,final,,11.466,3.3,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,789959,15902,Zheng Ao,CHN,CHN,MAG,senior,HB,mixed team,final,,10.433,4.0,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,788780,13268,Xie Chenyi,CHN,CHN,MAG,senior,PB,mixed team,final,,14.166,5.8,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,788914,3040,Yang Haonan,CHN,CHN,MAG,senior,PB,mixed team,final,,14.166,,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,766828,26526,Huai Tianming,CHN,CHN,MAG,senior,PB,mixed team,final,,13.066,4.1,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,782845,15695,Rong Zihao,CHN,CHN,MAG,senior,PB,mixed team,final,,13.033,4.3,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,788219,2970,Wang Haoran,CHN,CHN,MAG,senior,PB,mixed team,final,,12.9,4.3,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,755627,17525,An Zheng,CHN,CHN,MAG,senior,PB,mixed team,final,,12.8,3.9,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,761971,723,Ding Zerun,CHN,CHN,MAG,senior,PB,mixed team,final,,12.733,4.6,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,789280,15870,Yuan Junlin,CHN,CHN,MAG,senior,PB,mixed team,final,,12.666,4.3,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,785158,15759,Sun Qi,CHN,CHN,MAG,senior,PB,mixed team,final,,12.166,3.9,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,773723,15468,Long Houcheng,CHN,CHN,MAG,senior,PB,mixed team,final,,11.433,3.7,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,773510,8012,Liao Luokai,CHN,CHN,MAG,senior,PB,mixed team,final,,8.366,3.1,,,
1696,Chinese Championships,2026,International Event,2026-05-14,2026-05-20,818842,26167,Xie Guying,CHN,CHN,WAG,junior,BB,mixed team,final,,13.1,5.7,,,
