event_id,name,year,start_date,end_date,discipline,category,old_level,new_level,result_count
157,1st Spanish League,2018,2018-02-09,2018-02-11,WAG,junior and senior,International Event,National Event,367
372,1st Spanish League,2019,2019-02-08,2019-02-10,WAG,junior and senior,International Event,National Event,546
647,1st Spanish League,2021,2021-06-19,2021-06-20,WAG,junior and senior,International Event,National Event,649
888,1st Spanish League,2022,2022-03-05,2022-03-07,WAG,junior and senior,International Event,National Event,578
1555,1st Spanish League,2025,2025-02-15,2025-02-16,WAG,junior and senior,International Event,National Event,612
1701,1st Spanish League,2026,2026-02-20,2026-02-22,WAG,junior and senior,International Event,National Event,574
373,1st Spanish League (2020 season),2020,2019-12-07,2019-12-08,WAG,junior and senior,International Event,National Event,549
1130,1st Spanish League (2024 season),2024,2023-12-02,2023-12-03,WAG,junior and senior,International Event,National Event,586
887,1st Spanish League 2023,2023,2022-11-18,2022-11-20,WAG,junior and senior,International Event,National Event,571
1083,2nd Colombian Championships,2023,2023-07-13,2023-07-16,MAG and WAG,junior and senior,International Event,National Event,499
1163,2nd Hungarian Junior Championships,2023,2023-10-07,2023-10-07,WAG,junior,International Event,National Event,96
158,2nd Spanish League,2018,2018-04-21,2018-04-22,WAG,junior and senior,International Event,National Event,368
374,2nd Spanish League,2019,2019-03-23,2019-03-24,WAG,junior and senior,International Event,National Event,540
502,2nd Spanish League,2020,2020-02-08,2020-02-09,WAG,junior and senior,International Event,National Event,535
669,2nd Spanish League,2021,2021-10-09,2021-10-10,WAG,junior and senior,International Event,National Event,582
890,2nd Spanish League,2022,2022-05-07,2022-05-07,WAG,junior and senior,International Event,National Event,589
1129,2nd Spanish League,2023,2023-02-04,2023-02-05,WAG,junior and senior,International Event,National Event,583
1345,2nd Spanish League,2024,2024-02-10,2024-02-11,WAG,junior and senior,International Event,National Event,579
1554,2nd Spanish League,2025,2025-05-16,2025-05-18,WAG,junior and senior,International Event,National Event,621
1700,2nd Spanish League,2026,2026-05-16,2026-05-17,WAG,junior and senior,International Event,National Event,576
156,3rd Spanish League,2018,2018-06-16,2018-06-17,WAG,junior and senior,International Event,National Event,558
371,3rd Spanish League,2019,2019-04-27,2019-04-27,WAG,junior and senior,International Event,National Event,534
648,3rd Spanish League,2021,2021-11-12,2021-11-14,WAG,junior and senior,International Event,National Event,583
889,3rd Spanish League,2022,2022-06-18,2022-06-18,WAG,junior and senior,International Event,National Event,468
1127,3rd Spanish League,2023,2023-04-29,2023-04-30,WAG,junior and senior,International Event,National Event,591
1346,3rd Spanish League,2024,2024-04-06,2024-04-07,WAG,junior and senior,International Event,National Event,575
893,All American National Qualifier,2022,2022-01-28,2022-01-29,WAG,junior and senior,International Event,National Event,74
1728,All-Japan - Team??,2026,2026-08-01,2026-08-01,MAG and WAG,junior and senior,International Event,National Event,0
132,All-Japan Championships,2018,2018-04-27,2018-04-29,MAG and WAG,junior and senior,International Event,National Event,1148
289,All-Japan Championships,2019,2019-04-26,2019-04-28,MAG and WAG,junior and senior,International Event,National Event,1580
491,All-Japan Championships,2020,2020-12-10,2020-12-13,MAG and WAG,junior and senior,International Event,National Event,1267
577,All-Japan Championships,2021,2021-04-15,2021-04-18,MAG and WAG,senior,International Event,National Event,1482
801,All-Japan Championships,2022,2022-04-21,2022-04-24,MAG and WAG,junior and senior,International Event,National Event,1405
1034,All-Japan Championships,2023,2023-04-20,2023-04-23,MAG and WAG,junior and senior,International Event,National Event,1367
1268,All-Japan Championships,2024,2024-04-11,2024-04-14,MAG and WAG,junior and senior,International Event,National Event,1258
1473,All-Japan Championships,2025,2025-04-17,2025-04-20,MAG and WAG,junior and senior,International Event,National Event,1266
1670,All-Japan Championships,2026,2026-04-16,2026-04-19,MAG and WAG,junior and senior,International Event,National Event,1275
133,All-Japan Event Championships,2018,2018-06-30,2018-07-01,MAG and WAG,junior and senior,International Event,National Event,420
336,All-Japan Event Championships,2019,2019-06-21,2019-06-23,MAG and WAG,junior and senior,International Event,National Event,421
579,All-Japan Event Championships,2021,2021-06-05,2021-06-06,MAG and WAG,senior,International Event,National Event,410
861,All-Japan Event Championships,2022,2022-06-18,2022-06-19,MAG and WAG,junior and senior,International Event,National Event,376
1038,All-Japan Event Championships,2023,2023-06-10,2023-06-11,MAG and WAG,junior and senior,International Event,National Event,382
1267,All-Japan Event Championships,2024,2024-11-22,2024-11-24,MAG and WAG,junior and senior,International Event,National Event,472
1474,All-Japan Event Championships,2025,2025-04-17,2025-04-20,MAG and WAG,junior and senior,International Event,National Event,507
286,All-Japan Junior Championships,2019,2019-08-12,2019-08-17,MAG and WAG,junior and senior,International Event,National Event,2405
581,All-Japan Junior Championships,2021,2021-08-12,2021-08-17,MAG and WAG,junior and senior,International Event,National Event,1881
1039,All-Japan Junior Championships,2023,2023-08-12,2023-08-17,MAG and WAG,junior and senior,International Event,National Event,1994
1274,All-Japan Junior Championships,2024,2024-08-12,2024-08-17,MAG and WAG,junior and senior,International Event,National Event,1958
1476,All-Japan Junior Championships,2025,2025-08-12,2025-08-17,MAG and WAG,junior and senior,International Event,National Event,2013
465,All-Japan Senior Championships,2020,2020-09-20,2020-09-22,MAG and WAG,senior,International Event,National Event,990
578,All-Japan Senior Championships,2021,2021-09-23,2021-09-26,MAG and WAG,senior,International Event,National Event,715
803,All-Japan Senior Championships,2022,2022-09-17,2022-09-19,MAG and WAG,senior,International Event,National Event,712
1036,All-Japan Senior Championships,2023,2023-09-09,2023-09-09,MAG and WAG,senior,International Event,National Event,764
1272,All-Japan Senior Championships,2024,2024-09-15,2024-09-15,MAG and WAG,senior,International Event,National Event,902
1477,All-Japan Senior Championships,2025,2025-09-06,2025-09-06,MAG and WAG,senior,International Event,National Event,843
288,All-Japan Student Championships,2019,2019-08-20,2019-08-22,MAG and WAG,senior,International Event,National Event,2589
464,All-Japan Student Championships,2020,2020-10-19,2020-10-23,MAG and WAG,senior,International Event,National Event,2466
580,All-Japan Student Championships,2021,2021-09-01,2021-09-04,MAG and WAG,senior,International Event,National Event,1092
1032,All-Japan Student Championships,2023,2023-08-19,2023-08-22,MAG and WAG,junior and senior,International Event,National Event,1560
1266,All-Japan Student Championships,2024,2024-08-23,2024-08-26,MAG and WAG,senior,International Event,National Event,1171
1472,All-Japan Student Championships,2025,2025-08-19,2025-08-22,MAG and WAG,senior,International Event,National Event,1185
1037,All-Japan Super Specialist Championships,2023,2023-09-10,2023-09-10,MAG,junior and senior,International Event,National Event,64
1479,All-Japan Super Specialist Championships,2025,2025-09-07,2025-09-07,MAG,senior,International Event,National Event,46
76,All-Japan Team Championships,2018,2018-11-24,2018-11-25,MAG and WAG,senior,International Event,National Event,503
287,All-Japan Team Championships,2019,2019-11-09,2019-11-10,MAG and WAG,junior and senior,International Event,National Event,500
622,All-Japan Team Championships,2021,2021-12-11,2021-12-12,MAG and WAG,senior,International Event,National Event,502
802,All-Japan Team Championships,2022,2022-12-10,2022-12-11,MAG and WAG,junior and senior,International Event,National Event,505
1033,All-Japan Team Championships,2023,2023-11-26,2023-11-26,MAG and WAG,junior and senior,International Event,National Event,493
1269,All-Japan Team Championships,2024,2024-11-23,2024-11-23,MAG and WAG,junior and senior,International Event,National Event,461
1475,All-Japan Team Championships,2025,2025-11-13,2025-11-16,MAG and WAG,junior and senior,International Event,National Event,506
140,Argentinian Championships,2018,2018-11-17,2018-11-17,WAG,junior and senior,International Event,National Event,155
369,Argentinian Championships,2019,2019-08-20,2019-08-24,WAG,junior and senior,International Event,National Event,145
885,Argentinian Championships,2022,2022-11-17,2022-11-29,WAG,junior and senior,International Event,National Event,179
1161,Argentinian Championships,2023,2023-11-06,2023-11-12,WAG,junior and senior,International Event,National Event,175
1257,Argentinian Championships,2024,2024-12-07,2024-12-07,MAG and WAG,junior and senior,International Event,National Event,337
1593,Argentinian Championships,2025,2025-08-08,2025-08-09,WAG,junior and senior,International Event,National Event,159
141,Argentinian Club Championships,2018,2018-06-27,2018-06-30,WAG,junior and senior,International Event,National Event,160
370,Argentinian Club Championships,2019,2019-05-21,2019-05-25,WAG,junior and senior,International Event,National Event,136
174,Auburn National Qualifier,2018,2018-05-24,2018-05-26,WAG,junior and senior,International Event,National Event,499
392,Auburn National Qualifier,2019,2019-06-07,2019-06-09,WAG,junior and senior,International Event,National Event,386
36,Australian Championships,2018,2018-05-25,2018-05-27,MAG,senior,International Event,National Event,194
315,Australian Championships,2019,2019-05-20,2019-05-26,MAG and WAG,junior and senior,International Event,National Event,640
550,Australian Championships,2021,2021-05-21,2021-05-23,MAG and WAG,junior and senior,International Event,National Event,512
800,Australian Championships,2022,2022-05-20,2022-05-22,MAG and WAG,junior and senior,International Event,National Event,546
1030,Australian Championships,2023,2023-05-10,2023-05-13,MAG and WAG,junior and senior,International Event,National Event,514
1326,Australian Championships,2024,2024-05-10,2024-05-12,MAG and WAG,junior and senior,International Event,National Event,591
1470,Australian Championships,2025,2025-07-03,2025-07-09,MAG and WAG,junior and senior,International Event,National Event,670
1656,Australian Championships,2026,2026-06-28,2026-07-05,MAG and WAG,junior and senior,International Event,National Event,951
93,Austrian Championships,2018,2018-06-23,2018-06-24,MAG and WAG,junior and senior,International Event,National Event,464
306,Austrian Championships,2019,2019-11-09,2019-11-10,MAG and WAG,junior and senior,International Event,National Event,457
476,Austrian Championships,2020,2020-11-07,2020-11-08,MAG and WAG,junior and senior,International Event,National Event,547
604,Austrian Championships,2021,2021-06-05,2021-06-06,MAG and WAG,junior and senior,International Event,National Event,682
826,Austrian Championships,2022,2022-06-17,2022-06-18,MAG and WAG,junior and senior,International Event,National Event,487
1059,Austrian Championships,2023,2023-05-13,2023-05-14,MAG and WAG,junior and senior,International Event,National Event,544
1293,Austrian Championships,2024,2024-04-06,2024-04-07,MAG and WAG,junior and senior,International Event,National Event,519
1505,Austrian Championships,2025,2025-04-26,2025-04-27,MAG and WAG,junior and senior,International Event,National Event,441
1684,Austrian Championships,2026,2026-06-04,2026-06-07,MAG and WAG,junior and senior,International Event,National Event,397
420,Austrian Junior Championships,2019,2019-06-01,2019-06-02,WAG,junior,International Event,National Event,67
700,Austrian Junior Championships,2021,2021-11-06,2021-11-07,WAG,junior,International Event,National Event,90
925,Austrian Junior Championships,2022,2022-11-12,2022-11-12,WAG,junior,International Event,National Event,50
1588,Austrian Team Championships,2025,2025-09-20,2025-09-20,WAG,junior and senior,International Event,National Event,149
181,Belarusian Championships,2018,2018-09-19,2018-09-21,WAG,junior and senior,International Event,National Event,165
18,Belgian Championships,2018,2018-05-26,2018-05-27,MAG and WAG,junior and senior,International Event,National Event,229
352,Belgian Championships,2019,2019-06-01,2019-06-02,MAG and WAG,junior and senior,International Event,National Event,234
821,Belgian Championships,2022,2022-05-26,2022-05-29,MAG and WAG,junior and senior,International Event,National Event,277
1055,Belgian Championships,2023,2023-05-27,2023-05-29,MAG and WAG,junior and senior,International Event,National Event,271
1285,Belgian Championships,2024,2024-05-18,2024-05-20,MAG and WAG,junior and senior,International Event,National Event,211
1498,Belgian Championships,2025,2025-05-24,2025-05-25,MAG and WAG,junior and senior,International Event,National Event,320
1679,Belgian Championships,2026,2026-05-23,2026-05-25,MAG and WAG,junior and senior,International Event,National Event,217
1351,Biles Invitational National Qualifier,2024,2024-02-02,2024-02-04,WAG,junior and senior,International Event,National Event,205
646,Biles National Qualifier,2021,2021-01-21,2021-01-24,WAG,junior and senior,International Event,National Event,170
