event_id,year,event_name,old_level,new_level,discipline,category,reason
96,2018,1st Bundesliga,International Event,National Event,MAG and WAG,junior and senior,Bundesliga
81,2018,1st Italian Serie A,International Event,National Event,MAG and WAG,junior and senior,Serie A
99,2018,2nd Bundesliga,International Event,National Event,MAG and WAG,junior and senior,Bundesliga
80,2018,2nd Italian Serie A,International Event,National Event,MAG and WAG,junior and senior,Serie A
112,2018,3rd Bundesliga,International Event,National Event,MAG and WAG,junior and senior,Bundesliga
79,2018,3rd Italian Serie A,International Event,National Event,MAG and WAG,junior and senior,Serie A
111,2018,4th Bundesliga,International Event,National Event,MAG and WAG,junior and senior,Bundesliga
98,2018,5th Bundesliga,International Event,National Event,MAG,junior and senior,Bundesliga
113,2018,6th Bundesliga,International Event,National Event,MAG,senior,Bundesliga
70,2018,7th Bundesliga,International Event,National Event,MAG,senior,Bundesliga
94,2018,Austrian Men's Euros Trial,International Event,National Event,MAG,junior and senior,Trial/Trials
116,2018,Bundesliga Finals,International Event,National Event,MAG and WAG,junior and senior,Bundesliga
194,2018,Bundesliga Regional Finals,International Event,National Event,WAG,junior and senior,Bundesliga
189,2018,Chilean Trial Meet,International Event,National Event,WAG,senior,Trial/Trials
173,2018,German Euros Trial,International Event,National Event,WAG,junior and senior,Trial/Trials
97,2018,German Worlds Trial,World Championships,National Event,MAG and WAG,senior,Trial/Trials
206,2018,Japanese World Cup Trials,World Cup,National Event,WAG,junior and senior,Trial/Trials
178,2018,Mexican Trial Meet,International Event,National Event,WAG,senior,Trial/Trials
119,2018,Top 12 Final,International Event,National Event,MAG and WAG,junior and senior,Top 12
104,2018,Top 12 Semi-Final 1,International Event,National Event,MAG,senior,Top 12
106,2018,Top 12 Semi-Final 2,International Event,National Event,MAG,senior,Top 12
102,2018,Top 12 Series 1,International Event,National Event,MAG and WAG,junior and senior,Top 12
107,2018,Top 12 Series 2,International Event,National Event,MAG and WAG,junior and senior,Top 12
69,2018,Top 12 Series 3,International Event,National Event,MAG and WAG,junior and senior,Top 12
8,2018,Top 12 Series 4,International Event,National Event,MAG and WAG,junior and senior,Top 12
105,2018,Top 12 Series 5,International Event,National Event,MAG,senior,Top 12
103,2018,Top 12 Series 6,International Event,National Event,MAG,junior and senior,Top 12
191,2018,U.S. Worlds Trials,World Championships,National Event,WAG,senior,Trial/Trials
311,2019,1st Bundesliga,International Event,National Event,MAG and WAG,junior and senior,Bundesliga
295,2019,1st Italian Serie A,International Event,National Event,MAG and WAG,junior and senior,Serie A
313,2019,2nd Bundesliga,International Event,National Event,MAG and WAG,junior and senior,Bundesliga
445,2019,2nd Finnish Worlds Trials,World Championships,National Event,WAG,junior and senior,Trial/Trials
294,2019,2nd Italian Serie A,International Event,National Event,MAG and WAG,junior and senior,Serie A
312,2019,3rd Bundesliga,International Event,National Event,MAG and WAG,junior and senior,Bundesliga
293,2019,3rd Italian Serie A,International Event,National Event,MAG and WAG,junior and senior,Serie A
310,2019,4th Bundesliga,International Event,National Event,MAG and WAG,junior and senior,Bundesliga
283,2019,5th Bundesliga,International Event,National Event,MAG,senior,Bundesliga
309,2019,6th Bundesliga,International Event,National Event,MAG,junior and senior,Bundesliga
281,2019,7th Bundesliga,International Event,National Event,MAG,junior and senior,Bundesliga
279,2019,Bundesliga Final,International Event,National Event,MAG and WAG,junior and senior,Bundesliga
442,2019,Chinese Taipei Worlds Trial,World Championships,National Event,WAG,senior,Trial/Trials
389,2019,Finnish Worlds Trials,World Championships,National Event,WAG,junior and senior,Trial/Trials
329,2019,German Men's Worlds Trials,World Championships,National Event,MAG,senior,Trial/Trials
443,2019,German Worlds Trials,World Championships,National Event,WAG,senior,Trial/Trials
401,2019,Japanese International Trials,International Event,National Event,WAG,senior,Trial/Trials
317,2019,Top 12 Finals,International Event,National Event,MAG and WAG,junior and senior,Top 12
319,2019,Top 12 Semi-Final I,International Event,National Event,MAG,junior and senior,Top 12
320,2019,Top 12 Semi-Final II,International Event,National Event,MAG,senior,Top 12
383,2019,Top 12 Semi-Finals,International Event,National Event,WAG,junior and senior,Top 12
248,2019,Top 12 Series 1,International Event,National Event,MAG and WAG,junior and senior,Top 12
318,2019,Top 12 Series 2,International Event,National Event,MAG and WAG,junior and senior,Top 12
316,2019,Top 12 Series 3,International Event,National Event,MAG and WAG,junior and senior,Top 12
232,2019,Top 12 Series 4,International Event,National Event,MAG,junior and senior,Top 12
282,2019,Top 12 Series 5,International Event,National Event,MAG,senior,Top 12
231,2019,Top 12 Series 6,International Event,National Event,MAG,junior and senior,Top 12
428,2019,U.S. Junior Worlds Trials,World Championships,National Event,WAG,junior,Trial/Trials
415,2019,U.S. Worlds Trials,World Championships,National Event,WAG,senior,Trial/Trials
478,2020,1st Bundesliga,International Event,National Event,MAG and WAG,junior and senior,Bundesliga
467,2020,1st Italian Serie A,International Event,National Event,MAG and WAG,junior and senior,Serie A
480,2020,2nd Bundesliga,International Event,National Event,MAG and WAG,junior and senior,Bundesliga
449,2020,2nd Finnish Euros Trials,International Event,National Event,MAG and WAG,junior and senior,Trial/Trials
466,2020,2nd Italian Serie A,International Event,National Event,MAG and WAG,junior and senior,Serie A
479,2020,3rd Bundesliga,International Event,National Event,MAG,senior,Bundesliga
447,2020,3rd Finnish Euros Trials,International Event,National Event,MAG,junior and senior,Trial/Trials
