event_id,year,old_name,new_name,old_level,new_level,current_name,current_level,result_count,reason
739,2022,1st Bundlesiga League 2,1st Bundesliga League 2,International Event,National Event,1st Bundesliga League 2,National Event,396,Typo correction: Bundlesiga -> Bundesliga; domestic league.
788,2022,2nd Bundlesiga League 2,2nd Bundesliga League 2,International Event,National Event,2nd Bundesliga League 2,National Event,347,Typo correction: Bundlesiga -> Bundesliga; domestic league.
1573,2025,Japanese National Spots Festival,Japanese National Sports Festival,International Event,National Event,Japanese National Sports Festival,National Event,1263,Typo correction: Spots -> Sports; national sports festival.
11,2018,Asian Junior Championships,Asian Junior Championships,International Event,Continental Championships,Asian Junior Championships,Continental Championships,791,Residual continental championship previously inferred as International Event.
64,2018,Junior Pan Am Championships,Junior Pan Am Championships,International Event,Continental Championships,Junior Pan Am Championships,Continental Championships,358,Residual continental championship previously inferred as International Event.
138,2018,Junior Pan American Championships,Junior Pan American Championships,International Event,Continental Championships,Junior Pan American Championships,Continental Championships,326,Residual continental championship previously inferred as International Event.
614,2021,Junior Pan American Championships,Junior Pan American Championships,International Event,Continental Championships,Junior Pan American Championships,Continental Championships,798,Residual continental championship previously inferred as International Event.
869,2022,Oceania Championships,Oceania Championships,International Event,Continental Championships,Oceania Championships,Continental Championships,89,Residual continental championship previously inferred as International Event.
1107,2023,Oceania Championships,Oceania Championships,International Event,Continental Championships,Oceania Championships,Continental Championships,89,Residual continental championship previously inferred as International Event.
1334,2024,Oceania Championships,Oceania Championships,International Event,Continental Championships,Oceania Championships,Continental Championships,150,Residual continental championship previously inferred as International Event.
1682,2026,Oceania Championships,Oceania Championships,International Event,Continental Championships,Oceania Championships,Continental Championships,166,Residual continental championship previously inferred as International Event.
