review_id,review_priority,problem_type,athlete_name,discipline,suggested_existing_athlete,suggested_existing_country,suggestion_confidence,collision_countries,results_by_country,future_country_evidence,decision,action,country,notes
athlete_identity_collision_fb5696f27500767c,completed_2018,possible_athlete_identity_collision,Adam Steele,MAG,Adam Steele,IRL,1.0,"GBR, IRL",GBR: 2018 - English Championships (7 results) | IRL: 2018 - British Championships (9 results); 2018 - Doha World Cup (4 results); 2018 - European Championships (7 results); 2018 - Irish Championships (7 results); 2018 - Irish Super Championships (6 results); 2018 - Mersin Challenge Cup (9 results); 2018 - World Championships (7 results),2019: IRL:41 / 2021: IRL:14 / 2022: IRL:11 / 2023: IRL:20 / 2024: IRL:41 / 2025: IRL:14,merge as same athlete,canonical country,IRL,country_correction -cc:IRL | review_id: athlete_identity_collision_fb5696f27500767c
athlete_identity_collision_bb2a6e67bf68555d,completed_2018,possible_athlete_identity_collision,Alexander Shatilov,MAG,Alexander Shatilov,ISR,1.0,"ISR, RUS",ISR: 2018 - Cottbus World Cup (2 results); 2018 - European Championships (7 results); 2018 - Israeli Championships (7 results); 2018 - Koper Challenge Cup (4 results); 2018 - Osijek Challenge Cup (2 results); 2018 - Paris Challenge Cup (3 results); 2018 - Szombathely Challenge Cup (4 results); 2018 - World Championships (4 results) | RUS: 2018 - European Championships (1 result),2019: ISR:51 / 2020: ISR:9 / 2021: ISR:4,merge as same athlete,canonical country,ISR,country_correction -cc:ISR | review_id: athlete_identity_collision_bb2a6e67bf68555d
athlete_identity_collision_4c3f9d0cce838c57,completed_2018,possible_athlete_identity_collision,Alexey Rostov,MAG,Alexey Rostov,RUS,1.0,"ITA, RUS",ITA: 2018 - 2nd Italian Serie A (4 results) | RUS: 2018 - 1st Italian Serie A (4 results); 2018 - 2nd Bundesliga (7 results); 2018 - 3rd Italian Serie A (4 results); 2018 - 5th Bundesliga (7 results); 2018 - DTB Team Challenge (3 results); 2018 - Russian Championships (16 results); 2018 - Top 12 Series 1 (3 results); 2018 - Top 12 Series 3 (3 results); 2018 - Top 12 Series 4 (3 results); 2018 - Top 12 Series 6 (3 results),2019: RUS:76 / 2020: RUS:13 / 2021: RUS:40 / 2022: RUS:47 / 2023: RUS:32 / 2024: RUS:35,merge as same athlete,canonical country,RUS,country_correction -cc:RUS | review_id: athlete_identity_collision_4c3f9d0cce838c57
athlete_identity_collision_f853884d4d281fd4,completed_2018,possible_athlete_identity_collision,Ana Palacios,WAG,Ana Palacios,GUA,1.0,"ESP, GUA",ESP: 2018 - International GymSport (3 results); 2018 - Spanish Championships (5 results) | GUA: 2018 - Central American & Caribbean Games (15 results); 2018 - Pan American Championships (5 results); 2018 - World Championships (5 results),2019: GUA:20 / 2021: GUA:10 / 2022: GUA:5,merge as same athlete,canonical country,GUA,country_correction -cc:GUA | review_id: athlete_identity_collision_f853884d4d281fd4
athlete_identity_collision_336a1ce6b2e19533,completed_2018,possible_athlete_identity_collision,Andrei Muntean,MAG,Andrei Muntean,ROU,1.0,"FRA, ROU",FRA: 2018 - Top 12 Series 1 (1 result); 2018 - Top 12 Series 1 day 1 (1 result); 2018 - Top 12 Series 1 day 2 (1 result); 2018 - Top 12 Series 2 (1 result); 2018 - Top 12 Series 4 (1 result) | ROU: 2018 - Budapest Men's Friendly (5 results); 2018 - Doha World Cup (4 results); 2018 - European Championships (6 results); 2018 - Guimaraes Challenge Cup (4 results); 2018 - Koper Challenge Cup (6 results); 2018 - Mersin Challenge Cup (5 results); 2018 - Paris Challenge Cup (3 results); 2018 - Romanian Championships (12 results); 2018 - Szombathely Challenge Cup (4 results); 2018 - Top 12 Semi-Final 1 (2 results); 2018 - Top 12 Semi-Final 2 (2 results); 2018 - Top 12 Series 5 (2 results); 2018 - World Championships (14 results),"2019: FRA:4, GER:2, ROU:27 / 2020: ROU:12 / 2021: ROU:5 / 2022: FRA:1, ROU:32 / 2023: ROU:41 / 2024: ROU:11 / 2025: ROU:2",merge as same athlete,canonical country,ROU,country_correction -cc:ROU | review_id: athlete_identity_collision_336a1ce6b2e19533
athlete_identity_collision_d35ef3cc9a1b0474,completed_2018,possible_athlete_identity_collision,Astrid Breckmann,WAG,Astrid Breckmann,DEN,1.0,"DEN, FAR",DEN: 2018 - Danish Championships (12 results) | FAR: 2018 - Nordic Championships (5 results),2019: FAR:20 / 2020: DEN:8 / 2021: DEN:5 / 2022: DEN:5 / 2023: DEN:3,merge as same athlete,canonical country,DEN,country_correction -cc:DEN | review_id: athlete_identity_collision_d35ef3cc9a1b0474
athlete_identity_collision_595510b25b9d82f8,completed_2018,possible_athlete_identity_collision,Benjamin Gischard,MAG,Benjamin Gischard,SUI,1.0,"FRA, SUI",FRA: 2018 - Top 12 Semi-Final 2 (3 results) | SUI: 2018 - Baiersbronn Men's Friendly (4 results); 2018 - European Championships (5 results); 2018 - Koper Challenge Cup (10 results); 2018 - Swiss Championships (9 results); 2018 - Swiss Duel (3 results); 2018 - World Championships (7 results),2019: SUI:41 / 2020: SUI:13 / 2021: SUI:60 / 2022: SUI:14 / 2023: SUI:32 / 2025: SUI:26,merge as same athlete,canonical country,SUI,country_correction -cc:SUI | review_id: athlete_identity_collision_595510b25b9d82f8
athlete_identity_collision_11ffe28564b3f077,completed_2018,possible_athlete_identity_collision,Berta Pujadas,WAG,Berta Pujadas,ESP,1.0,"BRA, ESP",BRA: 2018 - Gymnasiade (1 result) | ESP: 2018 - 1st Spanish League (5 results); 2018 - 2nd Spanish League (5 results); 2018 - 3rd Spanish League (5 results); 2018 - Gymnasiade (5 results); 2018 - Houston National Invitational (5 results); 2018 - Spanish Championships (5 results),2019: ESP:49 / 2020: ESP:7 / 2021: ESP:12 / 2022: ESP:1,merge as same athlete,canonical country,ESP,country_correction -cc:ESP | review_id: athlete_identity_collision_11ffe28564b3f077
athlete_identity_collision_8a67a894dad2aa45,completed_2018,possible_athlete_identity_collision,Bogi Berg,MAG,Bogi Berg,DEN,1.0,"DEN, FAR",DEN: 2018 - Danish Championships day 1 (4 results); 2018 - Danish Championships day 2 (4 results) | FAR: 2018 - Nordic Championships (4 results),2019: DEN:6,merge as same athlete,canonical country,DEN,country_correction -cc:DEN | review_id: athlete_identity_collision_8a67a894dad2aa45
athlete_identity_collision_dd02abca5bb8c80a,completed_2018,possible_athlete_identity_collision,Corinne Bunagan,WAG,Corinne Bunagan,PHI,1.0,"PHI, USA",PHI: 2018 - Asian Games (5 results); 2018 - World Championships (5 results) | USA: 2018 - Orlando Qualifier (5 results),not found 2019-2025,merge as same athlete,canonical country,PHI,country_correction -cc:PHI | review_id: athlete_identity_collision_dd02abca5bb8c80a
athlete_identity_collision_91a32b244809173d,completed_2018,possible_athlete_identity_collision,Daniel Fox,MAG,Daniel Fox,IRL,1.0,"GBR, IRL",GBR: 2018 - British Championships (5 results); 2018 - English Championships (7 results) | IRL: 2018 - Irish Championships (4 results); 2018 - Irish Super Championships (6 results),2019: IRL:4 / 2021: IRL:9 / 2022: IRL:15 / 2024: IRL:30,merge as same athlete,canonical country,IRL,country_correction -cc:IRL | review_id: athlete_identity_collision_91a32b244809173d
athlete_identity_collision_6f1a5dbe55c8df29,completed_2018,possible_athlete_identity_collision,Davide Odomaro,MAG,Davide Odomaro,ITA,1.0,"FRA, ITA",FRA: 2018 - Top 12 Semi-Final 1 (3 results); 2018 - Top 12 Series 1 (1 result); 2018 - Top 12 Series 2 (1 result); 2018 - Top 12 Series 4 (1 result) | ITA: 2018 - 1st Italian Serie A (3 results); 2018 - 2nd Italian Serie A (4 results); 2018 - 3rd Italian Serie A (4 results); 2018 - Top 12 Series 5 (3 results),"2019: FRA:1, ITA:12",merge as same athlete,canonical country,ITA,country_correction -cc:ITA | review_id: athlete_identity_collision_6f1a5dbe55c8df29
athlete_identity_collision_a45f4d7313b28b44,completed_2018,possible_athlete_identity_collision,Deborah Salmina,WAG,Deborah Salmina,VEN,1.0,"ITA, VEN",ITA: 2018 - 1st Italian Serie A (5 results); 2018 - 2nd Italian Serie A (3 results); 2018 - 3rd Italian Serie A (2 results); 2018 - City of Jesolo Trophy (5 results) | VEN: 2018 - Central American & Caribbean Games (11 results),2020: VEN:3 / 2021: VEN:5 / 2023: VEN:32 / 2024: VEN:5,merge as same athlete,country history,VEN,country_history -cc:VEN | review_id: athlete_identity_collision_a45f4d7313b28b44
athlete_identity_collision_45fa3927b3d55b89,completed_2018,possible_athlete_identity_collision,Dmitriy Govorov,MAG,Dmitriy Govorov,GEO,1.0,"GEO, RUS",GEO: 2018 - Dityatin Cup (15 results); 2018 - Voronin Cup (7 results) | RUS: 2018 - Russian Championships (3 results); 2018 - Russian Championships day 1 (14 results); 2018 - Russian Championships day 2 (14 results),not found 2019-2025,merge as same athlete,canonical country,GEO,country_correction -cc:GEO | review_id: athlete_identity_collision_45fa3927b3d55b89
athlete_identity_collision_15c46d1aa44f01b4,completed_2018,possible_athlete_identity_collision,Eyal Indig,MAG,Eyal Indig,ISR,1.0,"GBR, ISR",GBR: 2018 - British Championships (7 results) | ISR: 2018 - European Championships (7 results); 2018 - Israeli Championships (7 results),2019: ISR:28 / 2020: ISR:8 / 2021: ISR:24 / 2022: ISR:20 / 2023: ISR:4 / 2025: ISR:9,merge as same athlete,canonical country,ISR,country_correction -cc:ISR | review_id: athlete_identity_collision_15c46d1aa44f01b4
athlete_identity_collision_87d99fabcaa70fc3,completed_2018,possible_athlete_identity_collision,Freja Petersen,WAG,Freja Petersen,DEN,1.0,"DEN, FAR",DEN: 2018 - Danish Championships (11 results); 2018 - European Championships (5 results) | FAR: 2018 - Nordic Championships (5 results),2019: DEN:36 / 2021: DEN:30 / 2022: DEN:33,merge as same athlete,canonical country,DEN,country_correction -cc:DEN | review_id: athlete_identity_collision_87d99fabcaa70fc3
athlete_identity_collision_79632be836714957,completed_2018,possible_athlete_identity_collision,Gaius Thompson,MAG,Gaius Thompson,GBR,1.0,"GBR, GER",GBR: 2018 - British Championships (7 results); 2018 - English Championships (2 results); 2018 - Osijek Challenge Cup (2 results) | GER: 2018 - 7th Bundesliga (3 results),not found 2019-2025,merge as same athlete,canonical country,GBR,country_correction -cc:GBR | review_id: athlete_identity_collision_79632be836714957
athlete_identity_collision_1948eb6f54d4f7fc,completed_2018,possible_athlete_identity_collision,Georgios Chatziefstathiou,MAG,Georgios Chatziefstathiou,GRE,1.0,"GRE, ITA",GRE: 2018 - 1st Italian Serie A (3 results); 2018 - 3rd Italian Serie A (4 results); 2018 - Baku World Cup (2 results); 2018 - European Championships (5 results); 2018 - Greek Championships (12 results); 2018 - Mediterranean Games (7 results); 2018 - World Championships (4 results) | ITA: 2018 - 2nd Italian Serie A (5 results),2019: GRE:4,merge as same athlete,canonical country,GRE,country_correction -cc:GRE | review_id: athlete_identity_collision_1948eb6f54d4f7fc
athlete_identity_collision_8272ef602eefccae,completed_2018,possible_athlete_identity_collision,Gioia Meli,WAG,Gioia Meli,ITA,1.0,"ESP, ITA",ESP: 2018 - 3rd Spanish League (3 results) | ITA: 2018 - Italian Gold Championships (2 results),not found 2019-2025,merge as same athlete,canonical country,ITA,country_correction -cc:ITA | review_id: athlete_identity_collision_8272ef602eefccae
athlete_identity_collision_1e21b709d428c6ad,completed_2018,possible_athlete_identity_collision,Giulia Bencini,WAG,Giulia Bencini,ITA,1.0,"GER, ITA",GER: 2018 - 4th Bundesliga (5 results) | ITA: 2018 - 1st Italian Serie A (5 results); 2018 - 2nd Italian Serie A (5 results); 2018 - 3rd Italian Serie A (5 results); 2018 - Bundesliga Finals (5 results); 2018 - Italian Championships (5 results); 2018 - Italian Gold Championships (10 results),2019: ITA:12 / 2020: ITA:23 / 2021: ITA:8,merge as same athlete,canonical country,ITA,country_correction -cc:ITA | review_id: athlete_identity_collision_1e21b709d428c6ad
athlete_identity_collision_2e6fce9a3a815be4,completed_2018,possible_athlete_identity_collision,Helge Liebrich,MAG,Helge Liebrich,GER,1.0,"GER, ITA",GER: 2018 - 2nd Bundesliga (7 results); 2018 - 3rd Bundesliga (5 results); 2018 - 4th Bundesliga (5 results); 2018 - 5th Bundesliga (4 results); 2018 - 6th Bundesliga (4 results) | ITA: 2018 - 2nd Italian Serie A (7 results); 2018 - 3rd Italian Serie A (7 results),2019: GER:26 / 2020: GER:2 / 2021: GER:1,merge as same athlete,canonical country,GER,country_correction -cc:GER | review_id: athlete_identity_collision_2e6fce9a3a815be4
athlete_identity_collision_cbd1cb5826150c8e,completed_2018,possible_athlete_identity_collision,Henji Mboyo,MAG,Henji Mboyo,SUI,1.0,"FRA, SUI",FRA: 2018 - Top 12 Semi-Final 1 (1 result) | SUI: 2018 - Baiersbronn Men's Friendly (7 results); 2018 - Dityatin Cup (10 results); 2018 - European Championships (12 results); 2018 - Guimaraes Challenge Cup (7 results),2019: SUI:5 / 2021: SUI:34 / 2023: SUI:24 / 2025: SUI:5,merge as same athlete,canonical country,SUI,country_correction -cc:SUI; Henji Mboyo sempre SUI; review_id: athlete_identity_collision_cbd1cb5826150c8e
athlete_identity_collision_3582dd3480be12f6,completed_2018,possible_athlete_identity_collision,Janna Mouffok,WAG,Janna Mouffok,ALG,1.0,"ALG, FRA",ALG: 2018 - Varsenare Friendly (5 results); 2018 - World Championships (5 results) | FRA: 2018 - French Championships (5 results); 2018 - Top 12 Final (5 results); 2018 - Top 12 Series 3 (2 results); 2018 - Top 12 Series 4 (1 result),not found 2019-2025,merge as same athlete,canonical country,ALG,country_correction -cc:ALG | review_id: athlete_identity_collision_3582dd3480be12f6
athlete_identity_collision_9399b65215ab2b12,completed_2018,possible_athlete_identity_collision,Jon Jang Mi,WAG,Jon Jang Mi,PRK,1.0,"CHN, PRK",CHN: 2018 - Asian Games (5 results) | PRK: 2018 - Asian Games (3 results); 2018 - World Championships (3 results),2024: PRK:3,merge as same athlete,canonical country,PRK,country_correction -cc:PRK | review_id: athlete_identity_collision_9399b65215ab2b12
athlete_identity_collision_c85be8f84adb5998,completed_2018,possible_athlete_identity_collision,Justin Pesesse,MAG,Justin Pesesse,BEL,1.0,"BEL, FRA",BEL: 2018 - Belgian Championships (7 results); 2018 - Dutch Championships (7 results); 2018 - European Championships (12 results) | FRA: 2018 - Top 12 Series 2 (3 results),2019: BEL:16 / 2020: BEL:8 / 2021: BEL:4,merge as same athlete,canonical country,BEL,country_correction -cc:BEL | review_id: athlete_identity_collision_c85be8f84adb5998
athlete_identity_collision_7cf2cfbd83cecedb,completed_2018,possible_athlete_identity_collision,Kimy Xiong,WAG,Kimy Xiong,FRA,1.0,"FRA, SUI",FRA: 2018 - Tournoi International (5 results) | SUI: 2018 - Tournoi International (1 result),2019: FRA:5,merge as same athlete,canonical country,FRA,country_correction -cc:FRA | review_id: athlete_identity_collision_7cf2cfbd83cecedb
athlete_identity_collision_92011bd6ade6fdba,completed_2018,possible_athlete_identity_collision,Konstantin Kuzovkov,MAG,Konstantin Kuzovkov,GEO,1.0,"GEO, RUS",GEO: 2018 - Baku World Cup (9 results); 2018 - Dityatin Cup (12 results); 2018 - Doha World Cup (7 results); 2018 - European Championships (12 results); 2018 - Voronin Cup (10 results); 2018 - World Championships (9 results) | RUS: 2018 - Russian Championships (17 results),2019: GEO:34 / 2020: GEO:9,merge as same athlete,canonical country,GEO,country_correction -cc:GEO | review_id: athlete_identity_collision_92011bd6ade6fdba
athlete_identity_collision_e8b44e9eb87cf02f,completed_2018,possible_athlete_identity_collision,Laura Aerts,WAG,Laura Aerts,BEL,1.0,"BEL, NED",BEL: 2018 - Belgian Championships (5 results); 2018 - International GymSport (10 results); 2018 - Leverkusen Cup (5 results) | NED: 2018 - Dutch Championships (8 results),not found 2019-2025,merge as same athlete,canonical country,BEL,country_correction -cc:BEL | review_id: athlete_identity_collision_e8b44e9eb87cf02f
athlete_identity_collision_51b693a22ac237c4,completed_2018,possible_athlete_identity_collision,Marcus Taylor,MAG,Marcus Taylor,IRL,1.0,"GBR, IRL",GBR: 2018 - British Championships (9 results); 2018 - English Championships (7 results) | IRL: 2018 - Irish Championships (7 results),not found 2019-2025,merge as same athlete,canonical country,IRL,country_correction -cc:IRL | review_id: athlete_identity_collision_51b693a22ac237c4
athlete_identity_collision_4e13666066e5a1c2,completed_2018,possible_athlete_identity_collision,Margaux Daveloose,WAG,Margaux Daveloose,BEL,1.0,"BEL, FRA",BEL: 2018 - Belgian Championships (5 results); 2018 - Dutch Championships (5 results); 2018 - Elite Gym Massilia (6 results); 2018 - European Championships (5 results); 2018 - Heerenveen Friendly (5 results); 2018 - International Gymnix (7 results) | FRA: 2018 - Top 12 Series 1 (3 results),2019: BEL:21 / 2020: BEL:6 / 2021: BEL:21,merge as same athlete,canonical country,BEL,country_correction -cc:BEL | review_id: athlete_identity_collision_4e13666066e5a1c2
athlete_identity_collision_3c8332ac471efa45,completed_2018,possible_athlete_identity_collision,Melek Sak,WAG,Melek Sak,RUS,1.0,"RUS, TUR",RUS: 2018 - Russian Junior Championships (5 results) | TUR: 2018 - Turkish Championships (5 results),2021: RUS:10,keep separate,,,review_id: athlete_identity_collision_3c8332ac471efa45
athlete_identity_collision_83326483e75bd109,completed_2018,possible_athlete_identity_collision,Michael O'Neill,MAG,Michael O'Neill,IRL,1.0,"GBR, IRL",GBR: 2018 - British Championships (7 results); 2018 - English Championships (7 results) | IRL: 2018 - Irish Championships (7 results); 2018 - Irish Super Championships (6 results),"2019: GBR:14, IRL:12 / 2021: GBR:3, IRL:2 / 2022: GBR:4, IRL:4 / 2023: IRL:7 / 2024: GBR:14, IRL:13 / 2025: GBR:3, IRL:2",merge as same athlete,canonical country,IRL,country_correction -cc:IRL | review_id: athlete_identity_collision_83326483e75bd109
athlete_identity_collision_75b1f7e53190a858,completed_2018,possible_athlete_identity_collision,Michael Wilner,MAG,Michael Wilner,USA,1.0,"ISR, USA",ISR: 2018 - Israeli Championships (3 results) | USA: 2018 - Winter Cup Challenge (2 results),2019: USA:3,merge as same athlete,canonical country,USA,country_correction -cc:USA | review_id: athlete_identity_collision_75b1f7e53190a858
athlete_identity_collision_9cd5b626f59c4803,completed_2018,possible_athlete_identity_collision,Noah Kuavita,MAG,Noah Kuavita,BEL,1.0,"BEL, FRA",BEL: 2018 - Belgian Championships (7 results); 2018 - DTB Team Challenge (3 results); 2018 - Doha World Cup (3 results); 2018 - Dutch Championships (7 results); 2018 - European Championships (5 results); 2018 - Ghent Men's Friendly (7 results); 2018 - World Championships (7 results) | FRA: 2018 - Top 12 Series 6 (2 results),2019: BEL:48 / 2020: BEL:3 / 2021: BEL:37 / 2022: BEL:29 / 2023: BEL:13 / 2024: BEL:15 / 2025: BEL:10,merge as same athlete,canonical country,BEL,country_correction -cc:BEL | review_id: athlete_identity_collision_9cd5b626f59c4803
athlete_identity_collision_a059bc4f4341602f,completed_2018,possible_athlete_identity_collision,Pascal Brendel,MAG,Pascal Brendel,GER,1.0,"FRA, GER",FRA: 2018 - RD761 Junior International Cup (1 result) | GER: 2018 - RD761 Junior International Cup (7 results),2019: GER:34 / 2020: GER:3 / 2021: GER:28 / 2022: GER:53 / 2023: GER:82 / 2024: GER:72,merge as same athlete,canonical country,GER,country_correction -cc:GER | review_id: athlete_identity_collision_a059bc4f4341602f
athlete_identity_collision_3beab366ad35a51b,completed_2018,possible_athlete_identity_collision,Raman Antropau,MAG,Raman Antropau,BLR,1.0,"BLR, ROU",BLR: 2018 - World Championships (7 results) | ROU: 2018 - European Championships (7 results),2019: BLR:21,merge as same athlete,canonical country,BLR,country_correction -cc:BLR | review_id: athlete_identity_collision_3beab366ad35a51b
athlete_identity_collision_f78e22a7308fb871,completed_2018,possible_athlete_identity_collision,Rebekka Rein,WAG,Rebekka Rein,DEN,1.0,"DEN, FAR",DEN: 2018 - Danish Championships (7 results) | FAR: 2018 - Nordic Championships (5 results),2019: FAR:15 / 2020: DEN:4 / 2021: DEN:5 / 2022: DEN:5,merge as same athlete,canonical country,DEN,country_correction -cc:DEN | review_id: athlete_identity_collision_f78e22a7308fb871
athlete_identity_collision_fa3754f614b25141,completed_2018,possible_athlete_identity_collision,Samir Serhani,MAG,Samir Serhani,SUI,1.0,"FRA, SUI",FRA: 2018 - Top 12 Final (2 results) | SUI: 2018 - Dityatin Cup (11 results); 2018 - Koper Challenge Cup (2 results),2019: SUI:21 / 2021: SUI:2 / 2022: SUI:8 / 2023: SUI:25 / 2024: SUI:26,merge as same athlete,canonical country,SUI,country_correction -cc:SUI | review_id: athlete_identity_collision_fa3754f614b25141
athlete_identity_collision_e7667a5cae10cfcb,completed_2018,possible_athlete_identity_collision,Sara Ricciardi,WAG,Sara Ricciardi,ITA,1.0,"ITA, SRB",ITA: 2018 - 1st Italian Serie A (5 results); 2018 - 2nd Italian Serie A (5 results); 2018 - 3rd Italian Serie A (5 results); 2018 - City of Jesolo Trophy (8 results); 2018 - Italian Championships (11 results); 2018 - Italian Gold Championships (11 results); 2018 - Rüsselsheim Friendly (5 results) | SRB: 2018 - World Championships (5 results),2019: ITA:25 / 2020: ITA:21 / 2021: ITA:10 / 2022: ITA:15 / 2023: ITA:8 / 2024: ITA:13 / 2025: ITA:4,merge as same athlete,canonical country,ITA,country_correction -cc:ITA | review_id: athlete_identity_collision_e7667a5cae10cfcb
