number,name_variants,discipline,counts_2018,post_2018_evidence,automatic_action,notes
1,Aeadwong Nattipong / Nattipong Aeadwong,MAG,Aeadwong Nattipong (THA:11; tot 11) / Nattipong Aeadwong (THA:10; tot 10),Nattipong Aeadwong -> 2019: THA:9,automatic merge name order,no country review generated
2,Anawin Phothong / Phothong Anawin,MAG,Anawin Phothong (THA:4; tot 4) / Phothong Anawin (THA:8; tot 8),not found 2019-2025,automatic merge name order,no country review generated
3,Arca Mustafa / Mustafa Arca,MAG,Arca Mustafa (TUR:7; tot 7) / Mustafa Arca (TUR:27; tot 27),Arca Mustafa -> 2019: TUR:7 / Mustafa Arca -> 2019: TUR:46 / 2020: TUR:19 / 2021: TUR:33,automatic merge name order,no country review generated
4,Balazs Kiss / Kiss Balazs,MAG,Balazs Kiss (HUN:18; tot 18) / Kiss Balazs (HUN:13; tot 13),Balazs Kiss -> 2019: HUN:14 / 2020: HUN:29 / 2021: HUN:4 / 2022: HUN:53 / 2023: HUN:44 / 2024: HUN:50 / 2025: HUN:30,automatic merge name order,no country review generated
5,Baobenmad Suphacheep / Suphacheep Baobenmad,MAG,Baobenmad Suphacheep (THA:14; tot 14) / Suphacheep Baobenmad (THA:9; tot 9),Suphacheep Baobenmad -> 2021: THA:7 / 2022: THA:2 / 2023: THA:30 / 2024: THA:7 / 2025: THA:20,automatic merge name order,no country review generated
6,Boonpatham Punyapat / Punyapat Boonpatham,MAG,Boonpatham Punyapat (THA:8; tot 8) / Punyapat Boonpatham (THA:7; tot 7),Punyapat Boonpatham -> 2023: THA:7,automatic merge name order,no country review generated
7,Cong Shi / Shi Cong,MAG,Cong Shi (CHN:10; tot 10) / Shi Cong (CHN:33; tot 33),Shi Cong -> 2019: CHN:15 / 2020: CHN:18 / 2021: CHN:42 / 2022: CHN:10 / 2023: CHN:41 / 2024: CHN:25 / 2025: CHN:64,automatic merge name order,no country review generated
8,Enoc Rodelo / Rodelo Enoc,MAG,Enoc Rodelo (MEX:7; tot 7) / Rodelo Enoc (MEX:7; tot 7),Enoc Rodelo -> 2022: MEX:3 / 2023: MEX:11,automatic merge name order,no country review generated
9,Henji M'Boyo / Henji Mboyo,MAG,Henji M'Boyo (FRA:1; tot 1) / Henji Mboyo (SUI:36; tot 36),Henji Mboyo -> 2019: SUI:5 / 2021: SUI:34 / 2023: SUI:24 / 2025: SUI:5,automatic merge name order,"genera review country athlete_identity_collision_cbd1cb5826150c8e, poi risolta con country_correction -cc:SUI"
10,Jamorn Prommanee / Prommanee Jamorn,MAG,Jamorn Prommanee (THA:11; tot 11) / Prommanee Jamorn (THA:8; tot 8),Jamorn Prommanee -> 2019: THA:20,automatic merge name order,no country review generated
11,Kaeson Lim / Lim Kaeson,MAG,Kaeson Lim (SGP:3; tot 3) / Lim Kaeson (SGP:3; tot 3),Kaeson Lim -> 2019: SGP:14 / 2021: SGP:2 / 2023: SGP:29 / Lim Kaeson -> 2019: SGP:7 / 2022: SGP:7 / 2024: SGP:4 / 2025: SGP:5,automatic merge name order,no country review generated
12,Kondo Mamoru / Mamoru Kondo,MAG,Kondo Mamoru (JPN:1; tot 1) / Mamoru Kondo (JPN:3; tot 3),Kondo Mamoru -> 2019: JPN:7 / Mamoru Kondo -> 2019: JPN:19 / 2020: JPN:14 / 2021: JPN:16 / 2022: JPN:17 / 2023: JPN:33 / 2024: JPN:34 / 2025: JPN:14,automatic merge name order,no country review generated
13,Lydia May Collins / Lydia-May Collins,WAG,Lydia May Collins (GBR:10; tot 10) / Lydia-May Collins (GBR:3; tot 3),Lydia-May Collins -> 2019: GBR:10,automatic merge name order,no country review generated
14,Maresca Salvatore / Salvatore Maresca,MAG,Maresca Salvatore (ITA:7; tot 7) / Salvatore Maresca (ITA:8; tot 8),Salvatore Maresca -> 2019: ITA:23 / 2020: ITA:17 / 2021: ITA:19 / 2022: ITA:19 / 2023: ITA:16 / 2024: ITA:15,automatic merge name order,no country review generated
15,Onoshima Takumi / Takumi Onoshima,MAG,"Onoshima Takumi (BEL:7, ITA:12; tot 19) / Takumi Onoshima (BEL:14, JPN:7; tot 21)",Takumi Onoshima -> 2019: BEL:38 / 2020: BEL:4 / 2021: BEL:17 / 2022: BEL:35 / 2023: BEL:22 / 2024: BEL:3 / 2025: BEL:31,automatic merge name order,fuse due vecchie review country in athlete_identity_collision_e7d998bc5bee3b13
