review_id,review_priority,problem_type,athlete_name,discipline,suggested_existing_athlete,suggested_existing_country,suggestion_confidence,collision_countries,results_by_country,future_country_evidence,decision,action,country,notes
athlete_identity_collision_dd4c82526cfef65d,high,possible_athlete_identity_collision,Abbie Corbett,WAG,Abbie Corbett,IRL,1.0,"GBR, IRL",GBR: 2019 - British Team Championships (5 results) | IRL: 2019 - Irish Championships (5 results); 2019 - Irish Team Championships (5 results); 2019 - Reykjavik International Games (5 results); 2019 - Rushmoor Rose Bowl (5 results),2022: IRL:5,,,,
athlete_match_528754e621bfc7f3,high,possible_existing_athlete_match,Abbie Marshall,WAG,Abbey Marshall,IRL,0.929,"GBR, IRL",GBR: 2019 - British Team Championships (3 results),Abbie Marshall: not found 2020-2025 | Abbey Marshall: not found 2020-2025,,,,
athlete_country_365a30ed31bf8ada,high,possible_athlete_country_change,Abderrazak Nasser,MAG,Abderrazak Nasser,FRA,,"FRA, MAR",MAR: 2019 - Top 12 Series 4 (1 result); 2019 - Top 12 Series 6 (1 result),2020: MAR:1 / 2021: MAR:10 / 2022: MAR:31 / 2023: MAR:12,,,,
athlete_identity_collision_13148b587c6915be,high,possible_athlete_identity_collision,Akvile Kurtinyte,WAG,,,,"DEN, LTU",DEN: 2019 - International Youth Games (5 results) | LTU: 2019 - Lithuanian Championships (7 results); 2019 - Tiger Cup (5 results),2020: LTU:17 / 2021: LTU:7,,,,
athlete_identity_collision_91ef3f3a84675aeb,high,possible_athlete_identity_collision,Alexia Angelini,WAG,Alexia Angelini,ITA,1.0,"ESP, ITA",ESP: 2020 - 1st Spanish League (2020 season) (3 results) | ITA: 2019 - 1st Italian Serie A (5 results); 2019 - 2nd Italian Serie A (2 results); 2019 - 3rd Italian Serie A (2 results),"2020: ESP:1, ITA:17 / 2021: ITA:7 / 2022: ITA:18 / 2023: ITA:39 / 2024: ITA:27 / 2025: ITA:38",,,,
athlete_match_47411aaae44ee011,high,possible_existing_athlete_match,Alicia Gutierrez,WAG,Lucia Gutierrez,PHI,0.903,"ESP, PHI",ESP: 2019 - Spanish League Finals (2 results); 2020 - 1st Spanish League (2020 season) (3 results),"Alicia Gutierrez: 2020: ESP:2 / 2021: ESP:14 / 2022: ESP:2 | Lucia Gutierrez: 2022: PHI:2, USA:2 / 2023: ESP:3, PHI:5 / 2024: ESP:15 / 2025: ESP:43",,,,
athlete_country_fdf1bbbaba57caa1,high,possible_athlete_country_change,Alina Ciausu,WAG,Alina Ciausu,GBR,,"GBR, ROU",ROU: 2019 - British Championships (9 results); 2019 - British Team Championships (5 results),not found 2020-2025,,,,
athlete_match_1b70af69b9c3caf1,high,possible_existing_athlete_match,Ana Sanchez,WAG,Alana Sanchez,MEX,0.917,"ESP, MEX",ESP: 2019 - 1st Spanish League (5 results); 2019 - 2nd Spanish League (5 results); 2019 - 3rd Spanish League (3 results),Ana Sanchez: not found 2020-2025 | Alana Sanchez: not found 2020-2025,,,,
athlete_identity_collision_2d2b9d7bdc3f7ee9,high,possible_athlete_identity_collision,Andrei Muntean,MAG,Andrei Muntean,ROU,1.0,"FRA, GER, ROU",FRA: 2019 - Top 12 Semi-Final I (1 result); 2019 - Top 12 Semi-Final II (1 result); 2019 - Top 12 Series 1 day 2 (1 result); 2019 - Top 12 Series 5 (1 result) | GER: 2019 - 1st Bundesliga (2 results) | ROU: 2019 - Backnang Men's Friendly (7 results); 2019 - European Championships (1 result); 2019 - Romanian Championships (11 results); 2019 - Top 12 Series 1 day 1 (1 result); 2019 - World Championships (7 results),"2020: ROU:12 / 2021: ROU:5 / 2022: FRA:1, ROU:32 / 2023: ROU:41 / 2024: ROU:11 / 2025: ROU:2",,,,
athlete_country_f86bf65e7e8f82ad,high,possible_athlete_country_change,Andreja Jeremejeva,WAG,Andreja Jeremejeva,LAT,,"LAT, LTU",LTU: 2019 - Lithuanian Championships (7 results),not found 2020-2025,,,,
