review_id,review_priority,problem_type,athlete_name,discipline,collision_countries,decision,action,country,notes,results_2019_by_country,future_country_evidence
athlete_identity_collision_13148b587c6915be,high,possible_athlete_identity_collision,Akvile Kurtinyte,WAG,"DEN, LTU",merge as same athlete,canonical country,LTU,,DEN: 2019 - International Youth Games (5 results) | LTU: 2019 - Lithuanian Championships (7 results); 2019 - Tiger Cup (5 results),2020: LTU:17 / 2021: LTU:7
athlete_identity_collision_b20ac7e48655dc1a,high,possible_athlete_identity_collision,Aron Jacobsen,MAG,"DEN, FAR",merge as same athlete,canonical country,DEN,,DEN: 2019 - Danish Championships (7 results) | FAR: 2019 - Northern European Championships (7 results),2020: DEN:12 / 2021: DEN:41 / 2022: DEN:32 / 2023: DEN:31 / 2024: DEN:3
athlete_identity_collision_94f9dac08a041f92,high,possible_athlete_identity_collision,Chester Enriquez,MAG,"GBR, IRL",merge as same athlete,canonical country,IRL,,GBR: 2019 - British Championships (7 results) | IRL: 2019 - Irish Championships (7 results),"2022: GBR:9 / 2023: GBR:18, IRL:13 / 2025: IRL:8"
athlete_identity_collision_c3dd677f111b85c8,high,possible_athlete_identity_collision,Cloe Blanca Perret,WAG,"ESP, FRA",merge as same athlete,canonical country,ESP,,ESP: 2019 - Spanish League Finals (3 results) | FRA: 2019 - 1st Spanish League (3 results); 2019 - 2nd Spanish League (2 results); 2019 - 3rd Spanish League (3 results),not found 2020-2025
athlete_identity_collision_d885af18c71dfdf2,high,possible_athlete_identity_collision,David Jessen,MAG,"CZE, HUN",merge as same athlete,canonical country,CZE,,CZE: 2019 - Czech Championships (11 results); 2019 - Doha World Cup (2 results); 2019 - Paris Challenge Cup (4 results); 2019 - Sokol Grand Prix (6 results); 2019 - Szombathely Challenge Cup (1 result); 2019 - World Championships (7 results) | HUN: 2019 - Szombathely Challenge Cup (3 results),2020: CZE:7 / 2021: CZE:36 / 2022: CZE:8
athlete_identity_collision_5dfa6927506f2a26,high,possible_athlete_identity_collision,Hjalmar Dalsgard,MAG,"DEN, FAR",merge as same athlete,canonical country,DEN,,DEN: 2019 - Danish Championships (4 results) | FAR: 2019 - Nordic Junior Championships (4 results); 2019 - Northern European Championships (7 results),2021: DEN:7 / 2022: DEN:3 / 2023: DEN:10 / 2024: DEN:7
athlete_identity_collision_300421515344c64c,high,possible_athlete_identity_collision,Jack Eakin,MAG,"GBR, IRL",merge as same athlete,canonical country,IRL,,GBR: 2019 - British Championships (7 results) | IRL: 2019 - Irish Championships (7 results),not found 2020-2025
athlete_identity_collision_0431e056b629de78,high,possible_athlete_identity_collision,Jemina Phan,WAG,"FIN, NOR",merge as same athlete,canonical country,FIN,,FIN: 2019 - Finnish Championships (7 results); 2019 - Unni & Haralds Trophy (1 result) | NOR: 2019 - Unni & Haralds Trophy (5 results),2020: FIN:18 / 2021: FIN:11 / 2022: FIN:26 / 2023: FIN:15 / 2024: FIN:10
athlete_identity_collision_2c98f4de5ac6b0cf,high,possible_athlete_identity_collision,Lorenzo Aymes,MAG,"FRA, MON",merge as same athlete,canonical country,FRA,,FRA: 2019 - Top 12 Finals (1 result); 2019 - Top 12 Semi-Final I (1 result); 2019 - Top 12 Series 2 (1 result); 2019 - Top 12 Series 3 (1 result) | MON: 2019 - Stella Zakharova Cup (13 results),"2021: FRA:18, MON:12 / 2022: FRA:22 / 2023: FRA:16 / 2024: FRA:19 / 2025: FRA:30"
athlete_identity_collision_175fcc4d8c04e02e,high,possible_athlete_identity_collision,Louis Dutrieux,MAG,"BEL, NED",merge as same athlete,canonical country,BEL,,BEL: 2019 - Belgian Championships (7 results) | NED: 2019 - Wase Gymcup (7 results),2021: BEL:8 / 2022: BEL:12 / 2023: BEL:3
athlete_identity_collision_9e605eb606be0c9b,high,possible_athlete_identity_collision,Marton Kovacs,MAG,"HUN, SUI",merge as same athlete,canonical country,HUN,,HUN: 2019 - European Youth Olympic Festival (7 results) | SUI: 2019 - Swiss Team Championships (4 results),"2020: HUN:24 / 2021: HUN:12, SUI:7 / 2022: HUN:33, SUI:5 / 2023: HUN:40 / 2024: HUN:7 / 2025: HUN:7"
