review_id,problem_type,severity,message,source_sheet,source_row,event_name,year,athlete_name,country,discipline,category,apparatus,vt_attempt,day,format,round,D_score,vault_attempt_order_uncertain,suggestion_count,top_suggestion_id,top_suggestion_type,top_suggestion_confidence,top_suggestion_message,top_target_event_name,top_target_year,top_target_athlete_name,top_target_country,top_target_discipline,top_target_category,top_target_apparatus,top_target_vt_attempt,top_target_day,top_target_format,top_target_round,top_target_score,top_target_D_score,top_target_source_sheet,top_target_source_row,all_suggestions_json
orphan_c23ecc3960b58c12,possible_context_mismatch,review,"Possible format, round, or day mismatch.",MAG D,101,Austrian Championships,2020,Alexander Benda,AUT,MAG,senior,VT,1,,apparatus,final,4.8,True,1,suggestion_03fc11145674da21,context_correction,0.65,"Same athlete/event/apparatus exists in the score sheet, but format, round, or day is different.",Austrian Championships,2020,Alexander Benda,AUT,MAG,senior,VT,1,,individual,final,13.85,4.8,MAG,120,"[{""suggestion_id"": ""suggestion_03fc11145674da21"", ""suggestion_type"": ""context_correction"", ""confidence"": 0.65, ""message"": ""Same athlete/event/apparatus exists in the score sheet, but format, round, or day is different."", ""action"": ""attach_d_score_to_target_result"", ""changes"": {""format"": {""from"": ""apparatus"", ""to"": ""individual""}, ""round"": {""from"": ""final"", ""to"": ""final""}, ""day"": {""from"": null, ""to"": null}}, ""target_result"": {""event_name"": ""Austrian Championships"", ""year"": 2020, ""athlete_name"": ""Alexander Benda"", ""country"": ""AUT"", ""discipline"": ""MAG"", ""category"": ""senior"", ""apparatus"": ""VT"", ""vt_attempt"": 1, ""day"": null, ""format"": ""individual"", ""round"": ""final"", ""score"": 13.85, ""D_score"": 4.8, ""vault_attempt_order_uncertain"": true, ""source_sheet"": ""MAG"", ""source_row"": 120, ""target_id"": ""target_1b83039ac9f07c3d""}}]"
orphan_5605597be0f6e033,possible_context_mismatch,review,"Possible format, round, or day mismatch.",MAG D,101,Austrian Championships,2020,Alexander Benda,AUT,MAG,senior,VT,2,,apparatus,final,4.0,True,1,suggestion_1f7330e94f0c3be1,context_correction,0.65,"Same athlete/event/apparatus exists in the score sheet, but format, round, or day is different.",Austrian Championships,2020,Alexander Benda,AUT,MAG,senior,VT,2,,individual,final,13.1,4.0,MAG,120,"[{""suggestion_id"": ""suggestion_1f7330e94f0c3be1"", ""suggestion_type"": ""context_correction"", ""confidence"": 0.65, ""message"": ""Same athlete/event/apparatus exists in the score sheet, but format, round, or day is different."", ""action"": ""attach_d_score_to_target_result"", ""changes"": {""format"": {""from"": ""apparatus"", ""to"": ""individual""}, ""round"": {""from"": ""final"", ""to"": ""final""}, ""day"": {""from"": null, ""to"": null}}, ""target_result"": {""event_name"": ""Austrian Championships"", ""year"": 2020, ""athlete_name"": ""Alexander Benda"", ""country"": ""AUT"", ""discipline"": ""MAG"", ""category"": ""senior"", ""apparatus"": ""VT"", ""vt_attempt"": 2, ""day"": null, ""format"": ""individual"", ""round"": ""final"", ""score"": 13.1, ""D_score"": 4.0, ""vault_attempt_order_uncertain"": true, ""source_sheet"": ""MAG"", ""source_row"": 120, ""target_id"": ""target_a8ca273c150cb67e""}}]"
orphan_c66a2e9573609565,missing_final_score_for_context,review,"The athlete/event exists, but not this apparatus/context.",MAG D,263,Ukrainian Championships,2020,Artem Gavrykov,UKR,MAG,senior,VT,2,,individual,final,0.4,True,0,,,,,,,,,,,,,,,,,,,,[]
orphan_45e63895f0039a00,possible_athlete_name_typo,review,Possible athlete-name typo between the D sheet and the score sheet.,MAG D,349,RD761 Junior International Cup,2020,Borys Brocki,POL,MAG,junior,FX,,,individual,final,3.5,False,1,suggestion_29e80e1a08d5668d,athlete_name_correction,0.917,D-score athlete 'Borys Brocki' probably matches score-sheet athlete 'Borys Bracki'.,RD761 Junior International Cup,2020,Borys Bracki,POL,MAG,junior,FX,,,individual,final,12.65,,MAG,422,"[{""suggestion_id"": ""suggestion_29e80e1a08d5668d"", ""suggestion_type"": ""athlete_name_correction"", ""confidence"": 0.917, ""message"": ""D-score athlete 'Borys Brocki' probably matches score-sheet athlete 'Borys Bracki'."", ""action"": ""attach_d_score_to_target_result"", ""changes"": {""athlete_name"": {""from"": ""Borys Brocki"", ""to"": ""Borys Bracki""}}, ""target_result"": {""event_name"": ""RD761 Junior International Cup"", ""year"": 2020, ""athlete_name"": ""Borys Bracki"", ""country"": ""POL"", ""discipline"": ""MAG"", ""category"": ""junior"", ""apparatus"": ""FX"", ""vt_attempt"": null, ""day"": null, ""format"": ""individual"", ""round"": ""final"", ""score"": 12.65, ""D_score"": null, ""vault_attempt_order_uncertain"": false, ""source_sheet"": ""MAG"", ""source_row"": 422, ""target_id"": ""target_710fa503b252aba1""}}]"
orphan_e40d1477bdd03bf4,possible_athlete_name_typo,review,Possible athlete-name typo between the D sheet and the score sheet.,MAG D,349,RD761 Junior International Cup,2020,Borys Brocki,POL,MAG,junior,HB,,,individual,final,2.7,False,1,suggestion_b3006e69918feb06,athlete_name_correction,0.917,D-score athlete 'Borys Brocki' probably matches score-sheet athlete 'Borys Bracki'.,RD761 Junior International Cup,2020,Borys Bracki,POL,MAG,junior,HB,,,individual,final,10.05,,MAG,422,"[{""suggestion_id"": ""suggestion_b3006e69918feb06"", ""suggestion_type"": ""athlete_name_correction"", ""confidence"": 0.917, ""message"": ""D-score athlete 'Borys Brocki' probably matches score-sheet athlete 'Borys Bracki'."", ""action"": ""attach_d_score_to_target_result"", ""changes"": {""athlete_name"": {""from"": ""Borys Brocki"", ""to"": ""Borys Bracki""}}, ""target_result"": {""event_name"": ""RD761 Junior International Cup"", ""year"": 2020, ""athlete_name"": ""Borys Bracki"", ""country"": ""POL"", ""discipline"": ""MAG"", ""category"": ""junior"", ""apparatus"": ""HB"", ""vt_attempt"": null, ""day"": null, ""format"": ""individual"", ""round"": ""final"", ""score"": 10.05, ""D_score"": null, ""vault_attempt_order_uncertain"": false, ""source_sheet"": ""MAG"", ""source_row"": 422, ""target_id"": ""target_010f0b0da0945d5c""}}]"
orphan_21f628ea7f23acb7,possible_athlete_name_typo,review,Possible athlete-name typo between the D sheet and the score sheet.,MAG D,349,RD761 Junior International Cup,2020,Borys Brocki,POL,MAG,junior,PB,,,individual,final,4.0,False,1,suggestion_02a600c8ef4d9d0e,athlete_name_correction,0.917,D-score athlete 'Borys Brocki' probably matches score-sheet athlete 'Borys Bracki'.,RD761 Junior International Cup,2020,Borys Bracki,POL,MAG,junior,PB,,,individual,final,11.6,,MAG,422,"[{""suggestion_id"": ""suggestion_02a600c8ef4d9d0e"", ""suggestion_type"": ""athlete_name_correction"", ""confidence"": 0.917, ""message"": ""D-score athlete 'Borys Brocki' probably matches score-sheet athlete 'Borys Bracki'."", ""action"": ""attach_d_score_to_target_result"", ""changes"": {""athlete_name"": {""from"": ""Borys Brocki"", ""to"": ""Borys Bracki""}}, ""target_result"": {""event_name"": ""RD761 Junior International Cup"", ""year"": 2020, ""athlete_name"": ""Borys Bracki"", ""country"": ""POL"", ""discipline"": ""MAG"", ""category"": ""junior"", ""apparatus"": ""PB"", ""vt_attempt"": null, ""day"": null, ""format"": ""individual"", ""round"": ""final"", ""score"": 11.6, ""D_score"": null, ""vault_attempt_order_uncertain"": false, ""source_sheet"": ""MAG"", ""source_row"": 422, ""target_id"": ""target_1b3be181ef94734e""}}]"
orphan_5c962ae676f38071,possible_athlete_name_typo,review,Possible athlete-name typo between the D sheet and the score sheet.,MAG D,349,RD761 Junior International Cup,2020,Borys Brocki,POL,MAG,junior,PH,,,individual,final,3.3,False,1,suggestion_0156b66f7dec387c,athlete_name_correction,0.917,D-score athlete 'Borys Brocki' probably matches score-sheet athlete 'Borys Bracki'.,RD761 Junior International Cup,2020,Borys Bracki,POL,MAG,junior,PH,,,individual,final,9.8,,MAG,422,"[{""suggestion_id"": ""suggestion_0156b66f7dec387c"", ""suggestion_type"": ""athlete_name_correction"", ""confidence"": 0.917, ""message"": ""D-score athlete 'Borys Brocki' probably matches score-sheet athlete 'Borys Bracki'."", ""action"": ""attach_d_score_to_target_result"", ""changes"": {""athlete_name"": {""from"": ""Borys Brocki"", ""to"": ""Borys Bracki""}}, ""target_result"": {""event_name"": ""RD761 Junior International Cup"", ""year"": 2020, ""athlete_name"": ""Borys Bracki"", ""country"": ""POL"", ""discipline"": ""MAG"", ""category"": ""junior"", ""apparatus"": ""PH"", ""vt_attempt"": null, ""day"": null, ""format"": ""individual"", ""round"": ""final"", ""score"": 9.8, ""D_score"": null, ""vault_attempt_order_uncertain"": false, ""source_sheet"": ""MAG"", ""source_row"": 422, ""target_id"": ""target_82741ba83546ca76""}}]"
orphan_d5ddda2a1c7fb8ef,possible_athlete_name_typo,review,Possible athlete-name typo between the D sheet and the score sheet.,MAG D,349,RD761 Junior International Cup,2020,Borys Brocki,POL,MAG,junior,SR,,,individual,final,2.8,False,1,suggestion_5e4be46ed829fcb8,athlete_name_correction,0.917,D-score athlete 'Borys Brocki' probably matches score-sheet athlete 'Borys Bracki'.,RD761 Junior International Cup,2020,Borys Bracki,POL,MAG,junior,SR,,,individual,final,9.4,,MAG,422,"[{""suggestion_id"": ""suggestion_5e4be46ed829fcb8"", ""suggestion_type"": ""athlete_name_correction"", ""confidence"": 0.917, ""message"": ""D-score athlete 'Borys Brocki' probably matches score-sheet athlete 'Borys Bracki'."", ""action"": ""attach_d_score_to_target_result"", ""changes"": {""athlete_name"": {""from"": ""Borys Brocki"", ""to"": ""Borys Bracki""}}, ""target_result"": {""event_name"": ""RD761 Junior International Cup"", ""year"": 2020, ""athlete_name"": ""Borys Bracki"", ""country"": ""POL"", ""discipline"": ""MAG"", ""category"": ""junior"", ""apparatus"": ""SR"", ""vt_attempt"": null, ""day"": null, ""format"": ""individual"", ""round"": ""final"", ""score"": 9.4, ""D_score"": null, ""vault_attempt_order_uncertain"": false, ""source_sheet"": ""MAG"", ""source_row"": 422, ""target_id"": ""target_995921110d77b653""}}]"
orphan_661e143addc9bc45,possible_athlete_name_typo,review,Possible athlete-name typo between the D sheet and the score sheet.,MAG D,349,RD761 Junior International Cup,2020,Borys Brocki,POL,MAG,junior,VT,1,,individual,final,2.4,True,1,suggestion_050b235681bdc2b6,athlete_name_correction,0.917,D-score athlete 'Borys Brocki' probably matches score-sheet athlete 'Borys Bracki'.,RD761 Junior International Cup,2020,Borys Bracki,POL,MAG,junior,VT,1,,individual,final,11.2,,MAG,422,"[{""suggestion_id"": ""suggestion_050b235681bdc2b6"", ""suggestion_type"": ""athlete_name_correction"", ""confidence"": 0.917, ""message"": ""D-score athlete 'Borys Brocki' probably matches score-sheet athlete 'Borys Bracki'."", ""action"": ""attach_d_score_to_target_result"", ""changes"": {""athlete_name"": {""from"": ""Borys Brocki"", ""to"": ""Borys Bracki""}}, ""target_result"": {""event_name"": ""RD761 Junior International Cup"", ""year"": 2020, ""athlete_name"": ""Borys Bracki"", ""country"": ""POL"", ""discipline"": ""MAG"", ""category"": ""junior"", ""apparatus"": ""VT"", ""vt_attempt"": 1, ""day"": null, ""format"": ""individual"", ""round"": ""final"", ""score"": 11.2, ""D_score"": null, ""vault_attempt_order_uncertain"": true, ""source_sheet"": ""MAG"", ""source_row"": 422, ""target_id"": ""target_25cea9b2488f0c72""}}]"
orphan_aba6f406fc43cb65,missing_final_score_for_context,review,"The athlete/event exists, but not this apparatus/context.",MAG D,406,Chinese Championships,2020,Cen Yu,CHN,MAG,senior,VT,2,,individual,qualification,5.6,True,0,,,,,,,,,,,,,,,,,,,,[]
