review_id,target_athlete_id,current_first_name,current_last_name,corrected_first_name,corrected_last_name,reason
athlete_match_b2c3f011a96b8a58,8237,Niccolo,Belli,Niccolò,Belli,admin_verified_explicit_name_correction_2023
athlete_match_d06ee4feca72205b,10007,Kim,Chae-yeon,Kim,Chaeeon,admin_verified_kor_future_evidence_name_correction_2023
athlete_match_834169b808e2f997,12563,Im,Chaekyung,Lim,Chaekyung,admin_verified_kor_future_evidence_name_correction_2023
athlete_match_253eb13b426590c3,9532,Eom,Do-hyun,Eom,Dohyun,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_cf9d04a6d7bab0ac,5319,Lee,Eun-ju,Lee,Eunju,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_9df7d411131214a8,14910,Yang,Eunjung,Yang,Eunjeong,admin_verified_kor_future_evidence_name_correction_2023
athlete_match_d22ffd21cc70a069,6535,Seong,Ga-eun,Seong,Gaeun,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_501279581491160c,323,Bae,Ga-ram,Bae,Garam,admin_verified_explicit_name_correction_2023
athlete_match_0ca61a5affd5589e,8781,Yang,Hak-seon,Yang,Hakseon,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_fbb6c198941cfdff,1602,Kim,Han-sol,Kim,Hansol,admin_verified_explicit_name_correction_2023
athlete_match_cb962523e02090a4,1603,Kim Jae,Ho,Kim,Jaeho,admin_verified_explicit_name_correction_2023
athlete_match_9154d509e44d618a,12982,Park,Hwapyung,Park,Hwapyeong,admin_verified_kor_future_evidence_name_correction_2023
athlete_match_45e90612cd8c6d7d,1674,Lee,Hyeok-jung,Lee,Hyeokjung,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_26e9dcfc571d1014,14646,Roh,Hyunsol,Noh,Hyunsol,admin_verified_kor_future_evidence_name_correction_2023
athlete_match_e6e133a82c36ae73,1675,Lee,Jae-seong,Lee,Jaeseong,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_df6d0a8e5c5528e2,2636,Shin,Jea-hwan,Shin,Jeahwan,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_dc24ecc8f4a25673,12701,Kim,Jinkyu,Kim,Jingyu,admin_verified_kor_future_evidence_name_correction_2023
athlete_match_3912c88fddb96f25,1676,Lee,Jun-ho,Lee,Junho,admin_verified_explicit_name_correction_2023
athlete_match_5bca4809a0f86760,7992,Lee,Jung-hyo,Lee,Junghyo,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_074ff727810797ed,8479,Seo,Jung-woon,Seo,Jungwon,admin_verified_kor_future_evidence_name_correction_2023
athlete_match_7b6f08c7e6b832ab,4665,Ham,Mi-ju,Ham,Miju,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_7399feab355a8888,10011,Kim,Min-jeong,Kim,Minjeong,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_bbde7d2615b9d52c,10012,Kim,Min-ji,Kim,Minji,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_b26c4d7732369107,7078,Yun,Na-rae,Yun,Narae,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_92b8b1c9b99531f8,2137,Nico,Oliveiri,Nico,Olivieri,admin_verified_explicit_name_correction_2023
athlete_match_b78382d9424267d6,12665,Kang,Pyunghwan,Kang,Pyeonghwan,admin_verified_kor_future_evidence_name_correction_2023
athlete_match_d3c42c00a41fd78b,7045,Yeo,Seo-jeong,Yeo,Seojeong,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_e26ab4a9b86ee44a,8298,Park,Seung-ho,Park,Seungho,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_c64bbcf69d8de80f,7993,Lee,Seung-min,Lee,Seungmin,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_e94d844a709f7bef,10700,Park,Soo-jin,Park,Soojin,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_b2c80db4b71952db,14205,Lee,Soomin,Lee,Somin,admin_verified_kor_future_evidence_name_correction_2023
athlete_match_4aadb939cf2b9c85,8428,Ryu,Sung-hyun,Ryu,Sunghyun,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_4eaef85f58dab9e0,2129,Niccolo,Vannucchi,Niccolò,Vannucchi,admin_verified_explicit_name_correction_2023
athlete_match_2a22e7007627cc9d,7689,Hur,Wo-ong,Hur,Woong,admin_verified_explicit_name_correction_2023
athlete_match_d6b30705fdb39e04,9296,Cha,Yeon-hee,Cha,Yeonhee,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_b7252ecc16aa2b40,5318,Lee Da,Yeong,Lee,Dayeong,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_435c105d41262e84,6569,Shin Sol,Yi,Shin,Solyi,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_fd6c58f5c3d6c5d1,7778,Jeon,Yo-seop,Jeon,Yoseop,admin_verified_kor_no_hyphen_spacing_name_correction_2023
athlete_match_312a041c2193d1c9,5321,Lee,Yun-seo,Lee,Yunseo,admin_verified_explicit_name_correction_2023
