review_id,review_priority,problem_type,athlete_name,discipline,collision_countries,decision,action,country,notes,results_2024_by_country,future_country_evidence
athlete_identity_collision_4aa2ce0f356e626f,high,possible_athlete_identity_collision,William Émard,MAG,"CAN, FRA",merge as same athlete,canonical country,CAN,,CAN: 2025 - Top 12 Series 2 (2025) (2 results) | FRA: 2025 - Top 12 Series 1 (2025) (1 results),William Émard: 2025: CAN:45
athlete_identity_collision_2426ac1b137b54c0,high,possible_athlete_identity_collision,Clovis Dias,MAG,"FRA, POR",merge as same athlete,canonical country,POR,,FRA: 2024 - Christmas Cup (1 results) | POR: 2024 - International GymSport (5 results),Clovis Dias: 2025: POR:10
athlete_identity_collision_3f59f60f2ff5217f,high,possible_athlete_identity_collision,Eliza Barbosa de Melo,WAG,"GBR, HUN",merge as same athlete,canonical country,HUN,,GBR: 2024 - English Championships (5 results) | HUN: 2024 - Hungarian Championships (2 results); 2024 - Hungarian Junior Championships (1 results),Eliza Barbosa de Melo: not found 2025-2025
athlete_identity_collision_1f2b1b40812fe539,high,possible_athlete_identity_collision,Anujin Gomboluudev,WAG,"MGL, USA",merge as same athlete,canonical country,MGL,,MGL: 2024 - Asian Championships (5 results) | USA: 2024 - Vegas Cup National Qualifier (5 results),Anujin Gomboluudev: 2025: MGL:10
athlete_identity_collision_c2593b4a03a88f77,high,possible_athlete_identity_collision,Magdalena Andradottir,WAG,"ISL, NOR",merge as same athlete,canonical country,ISL,,ISL: 2024 - Iceland Classic (5 results) | NOR: 2024 - Mälar Cup (5 results),Magdalena Andradottir: 2025: ISL:30
athlete_identity_collision_a67622dc5da49c44,high,possible_athlete_identity_collision,Rebecca Mitchell,WAG,"CAN, DEN",merge as same athlete,country history,DEN,,CAN: 2024 - Elite Canada (5 results) | DEN: 2024 - Danish Championships (5 results),Rebecca Mitchell: 2025: DEN:25
athlete_identity_collision_54c91fb9c958b9b5,high,possible_athlete_identity_collision,Hanna Bjartalid,WAG,"DEN, ISL",merge as same athlete,canonical country,ISL,,DEN: 2024 - Nordic Championships (2 results) | ISL: 2024 - Iceland Classic (5 results),Hanna Bjartalid: not found 2025-2025
athlete_identity_collision_03144335fcf1ad69,high,possible_athlete_identity_collision,Louay Sahli,MAG,"ALG, TUN",merge as same athlete,canonical country,TUN,,ALG: 2025 - Top 12 Series 1 (2025) (1 results); 2025 - Top 12 Series 3 (2025) (2 results) | TUN: 2024 - Mediterranean Championships (5 results),"Louay Sahli: 2025: FRA:3, TUN:13"
athlete_identity_collision_86590af3383615fc,high,possible_athlete_identity_collision,Hjørdis Petursdottir,WAG,"DEN, ISL",merge as same athlete,canonical country,ISL,,DEN: 2024 - Northern European Championships (5 results) | ISL: 2024 - Iceland Classic (1 results),Hjørdis Petursdottir: not found 2025-2025
athlete_identity_collision_8f330417f3df8428,high,possible_athlete_identity_collision,Jan Kies,MAG,"BEL, NED",merge as same athlete,canonical country,NED,,BEL: 2024 - Wase Gymcup (3 results) | NED: 2024 - Wase Gymcup (5 results),Jan Kies: not found 2025-2025
