review_id,review_priority,problem_type,athlete_name,discipline,suggested_existing_athlete,suggested_existing_country,suggestion_confidence,collision_countries,results_2025_by_country,future_country_evidence,recommended_action,learned_rule_id,decision,action,country,notes
athlete_identity_collision_45a24df83ba518e2,high,possible_athlete_identity_collision,Adriana Poesio,WAG,Adriana Poesio,ITA,1.0,"ESP, ITA",ESP: 2025 - 1st Spanish League (3 results) | ITA: 2025 - 3rd Italian Serie A (5 results),Adriana Poesio: not found 2026-2025,,,,,,
athlete_identity_collision_5e36f136542f808d,high,possible_athlete_identity_collision,Lore Muylkens,WAG,Lore Muylkens,BEL,1.0,"BEL, LUX",BEL: 2025 - Gymnova Cup (5 results) | LUX: 2025 - Wase Gymcup (5 results),Lore Muylkens: not found 2026-2025,,,,,,
athlete_identity_collision_2550a3446dd5c9ce,high,possible_athlete_identity_collision,Sienna McCoy,WAG,Sienna McCoy,GBR,1.0,"GBR, IRL",GBR: 2025 - English Championships (5 results) | IRL: 2025 - Irish Championships (5 results),Sienna McCoy: not found 2026-2025,,,,,,
athlete_identity_collision_e76ffe2db3fd5c22,high,possible_athlete_identity_collision,Elijah Ramirez,MAG,Elijah Ramirez,GBR,1.0,"GBR, TTO",GBR: 2025 - British Championships (5 results) | TTO: 2025 - Junior World Championships (5 results),Elijah Ramirez: not found 2026-2025,,,,,,
athlete_identity_collision_ad76ef96c4154a9d,high,possible_athlete_identity_collision,Kiichi Kaneta,MAG,,,,"JAM, JPN",JAM: 2025 - Paris Challenge Cup (1 results) | JPN: 2025 - All-Japan Senior Championships (5 results),Kiichi Kaneta: not found 2026-2025,,,,,,
athlete_identity_collision_261d7a0413259db6,high,possible_athlete_identity_collision,Laura Nelson,WAG,Laura Nelson,GBR,1.0,"GBR, IRL",GBR: 2025 - British Team Championships (5 results) | IRL: 2025 - Irish Championships (5 results),Laura Nelson: not found 2026-2025,,,,,,
athlete_identity_collision_d40c4f4a9063191d,high,possible_athlete_identity_collision,Jaydon Attygalle,MAG,Jaydon Attygalle,SRI,1.0,"GBR, SRI",GBR: 2025 - English Championships (2 results) | SRI: 2025 - Asian Championships (2 results); 2025 - Koper Challenge Cup (2 results),Jaydon Attygalle: not found 2026-2025,,,,,,
athlete_identity_collision_01762fa7487d6edb,high,possible_athlete_identity_collision,Finlay Hazelton,MAG,Finlay Hazelton,IRL,1.0,"GBR, IRL",GBR: 2025 - British Championships (5 results) | IRL: 2025 - European Youth Olymipc Festival (5 results),Finlay Hazelton: not found 2026-2025,,,,,,
athlete_identity_collision_1b23db639213d239,high,possible_athlete_identity_collision,Quentin Bellemin,MAG,Quentin Bellemin,FRA,1.0,"FRA, USA",FRA: 2025 - French Championships (5 results) | USA: 2025 - U.S. Championships (5 results),Quentin Bellemin: not found 2026-2025,,,,,,
athlete_identity_collision_86f739bdb9195327,high,possible_athlete_identity_collision,Nika Babic,WAG,Nika Babic,CRO,1.0,"CRO, SLO",CRO: 2025 - Croatian Event Championships (5 results) | SLO: 2025 - Zelena Jama Open (5 results),Nika Babic: not found 2026-2025,,,,,,
athlete_identity_collision_c5b53aa0c8bca9f4,high,possible_athlete_identity_collision,Viggo Altarac,MAG,Viggo Altarac,SWE,1.0,"SGP, SWE",SGP: 2025 - Singapore Open (2 results) | SWE: 2025 - Singapore Championships (5 results),Viggo Altarac: not found 2026-2025,,,,,,
athlete_identity_collision_02c5f5b98b4f37aa,high,possible_athlete_identity_collision,Carlota Salas,WAG,Carlota Salas,ESP,1.0,"AND, ESP",AND: 2025 - 1st Spanish League (5 results) | ESP: 2025 - Spanish Championships (5 results),Carlota Salas: not found 2026-2025,,,,,,
athlete_identity_collision_0e63c727736e9c5c,high,possible_athlete_identity_collision,Artur Sahakyan,MAG,Artur Sahakyan,GER,1.0,"ARM, GER",ARM: 2025 - Top 12 Semifinals (1 results) | GER: 2025 - 7th Bundesliga (3 results); 2025 - German Worlds Trials (2 results),Artur Sahakyan: not found 2026-2025,,,,,,
