cluster,event_id,year,name,start_date,end_date,discipline,category,level,location,venue,result_count
Cups / opens / trophies / invitationals,43,2018,RD761 Junior International Cup,2018-01-19,2018-01-21,MAG,junior,International Event,,,298
Other named international meets,146,2018,Desert Lights Qualifier,2018-01-27,2018-01-28,WAG,junior and senior,International Event,,,324
Other named international meets,148,2018,Buckeye Qualifier,2018-02-01,2018-02-02,WAG,junior and senior,International Event,,,250
Other named international meets,40,2018,Elite Canada,2018-02-01,2018-02-04,MAG and WAG,junior and senior,International Event,,,641
Cups / opens / trophies / invitationals,208,2018,Houston National Invitational,2018-02-02,2018-02-04,WAG,junior and senior,International Event,,,57
Other named international meets,54,2018,Houston National Invite,2018-02-02,2018-02-04,MAG,senior,International Event,,,57
Cups / opens / trophies / invitationals,190,2018,Israeli Winter Cup,2018-02-03,2018-02-03,WAG,junior and senior,International Event,,,43
Games / festivals / multi-sport events,120,2018,Reykjavik International Games,2018-02-03,2018-02-03,MAG and WAG,junior and senior,International Event,,,210
Other named international meets,149,2018,Orlando Qualifier,2018-02-09,2018-02-11,WAG,junior and senior,International Event,,,260
Cups / opens / trophies / invitationals,12,2018,President's Cup,2018-02-12,2018-02-16,MAG and WAG,junior and senior,International Event,,,661
Cups / opens / trophies / invitationals,53,2018,Winter Cup Challenge,2018-02-15,2018-02-17,MAG,junior and senior,International Event,,,722
Cups / opens / trophies / invitationals,204,2018,WOGA Classic,2018-02-16,2018-02-18,WAG,junior and senior,International Event,,,133
Cups / opens / trophies / invitationals,166,2018,Mallorca Cup,2018-02-17,2018-02-18,WAG,junior and senior,International Event,,,190
Cups / opens / trophies / invitationals,108,2018,American Cup,2018-03-03,2018-03-03,MAG and WAG,senior,International Event,,,100
Other named international meets,182,2018,International Gymnix,2018-03-09,2018-03-11,WAG,junior and senior,International Event,,,569
Cups / opens / trophies / invitationals,193,2018,DTB Pokal Team Challenge,2018-03-16,2018-03-18,WAG,senior,International Event,,,206
Cups / opens / trophies / invitationals,82,2018,DTB Team Challenge,2018-03-16,2018-03-18,MAG,senior,International Event,,,403
Cups / opens / trophies / invitationals,68,2018,Stella Zakharova Cup,2018-03-31,2018-04-01,MAG and WAG,junior and senior,International Event,,,695
Regional or sub-continental events,71,2018,Commonwealth Games,2018-04-05,2018-04-09,MAG and WAG,senior,International Event,,,864
Other named international meets,155,2018,U.S. Verification (April),2018-04-07,2018-04-08,WAG,junior and senior,International Event,,,114
Cups / opens / trophies / invitationals,154,2018,City of Jesolo Trophy,2018-04-14,2018-04-15,WAG,junior and senior,International Event,,,483
Cups / opens / trophies / invitationals,24,2018,Austrian Team Open,2018-04-21,2018-04-21,MAG and WAG,junior and senior,International Event,,,616
Cups / opens / trophies / invitationals,59,2018,International Junior Team Cup,2018-04-21,2018-04-22,MAG,junior,International Event,,,931
Regional or sub-continental events,65,2018,Pacific Rim Championships,2018-04-27,2018-04-29,MAG and WAG,junior and senior,International Event,,,876
Games / festivals / multi-sport events,14,2018,Gymnasiade,2018-05-02,2018-05-09,MAG and WAG,junior and senior,International Event,,,594
Preparation / test / friendly events,196,2018,Deva Friendly,2018-05-05,2018-05-05,WAG,junior and senior,International Event,,,87
Other named international meets,56,2018,International GymSport,2018-05-05,2018-05-06,MAG and WAG,junior and senior,International Event,,,618
Cups / opens / trophies / invitationals,77,2018,Unni & Haralds Trophy,2018-05-11,2018-05-13,MAG and WAG,junior and senior,International Event,,,776
Cups / opens / trophies / invitationals,89,2018,Dityatin Cup,2018-05-16,2018-05-20,MAG and WAG,junior and senior,International Event,,,668
Cups / opens / trophies / invitationals,192,2018,Polish Cup,2018-05-18,2018-05-19,WAG,junior and senior,International Event,,,202
Cups / opens / trophies / invitationals,165,2018,Elek Matolay Memorial,2018-05-19,2018-05-20,WAG,junior and senior,International Event,,,527
Cups / opens / trophies / invitationals,185,2018,Marie Siroke Memorial,2018-05-19,2018-05-19,WAG,junior and senior,International Event,,,79
Cups / opens / trophies / invitationals,134,2018,NHK Trophy,2018-05-19,2018-05-20,MAG and WAG,junior and senior,International Event,,,350
